"[30, 114]","[40, 79]","[50, 74]","[60, 90]"
"[30, 110]","[40, 79]","[50, 71]","[60, 91]"
"[30, 116]","[40, 77]","[50, 74]","[60, 94]"
"[30, 109]","[40, 78]","[50, 72]","[60, 91]"
"[30, 115]","[40, 73]","[50, 68]","[60, 89]"
"[30, 114]","[40, 77]","[50, 71]","[60, 87]"
"[30, 110]","[40, 79]","[50, 70]","[60, 94]"
"[30, 95]","[40, 76]","[50, 72]","[60, 91]"
"[30, 110]","[40, 77]","[50, 73]","[60, 88]"
"[30, 112]","[40, 78]","[50, 74]","[60, 90]"
"[30, 109]","[40, 77]","[50, 73]","[60, 88]"
"[30, 112]","[40, 77]","[50, 74]","[60, 88]"
"[30, 111]","[40, 74]","[50, 72]","[60, 88]"
"[30, 112]","[40, 75]","[50, 73]","[60, 90]"
"[30, 116]","[40, 78]","[50, 71]","[60, 89]"
"[30, 109]","[40, 79]","[50, 74]","[60, 91]"
"[30, 111]","[40, 76]","[50, 70]","[60, 88]"
"[30, 112]","[40, 77]","[50, 70]","[60, 90]"
"[30, 112]","[40, 77]","[50, 72]","[60, 87]"
"[30, 107]","[40, 77]","[50, 72]","[60, 91]"
"[30, 112]","[40, 78]","[50, 71]","[60, 92]"
"[30, 114]","[40, 78]","[50, 72]","[60, 91]"
"[30, 114]","[40, 76]","[50, 71]","[60, 88]"
"[30, 112]","[40, 79]","[50, 72]","[60, 89]"
"[30, 112]","[40, 78]","[50, 72]","[60, 88]"
"[30, 112]","[40, 76]","[50, 69]","[60, 89]"
"[30, 112]","[40, 75]","[50, 73]","[60, 90]"
"[30, 114]","[40, 78]","[50, 70]","[60, 89]"
"[30, 114]","[40, 80]","[50, 71]","[60, 90]"
"[30, 111]","[40, 77]","[50, 68]","[60, 90]"
"[30, 115]","[40, 76]","[50, 71]","[60, 93]"
"[30, 111]","[40, 77]","[50, 70]","[60, 92]"
"[30, 111]","[40, 79]","[50, 71]","[60, 92]"
"[30, 111]","[40, 78]","[50, 72]","[60, 88]"
"[30, 109]","[40, 77]","[50, 70]","[60, 90]"
"[30, 108]","[40, 76]","[50, 72]","[60, 91]"
"[30, 111]","[40, 79]","[50, 71]","[60, 92]"
"[30, 115]","[40, 76]","[50, 71]","[60, 92]"
"[30, 108]","[40, 77]","[50, 71]","[60, 88]"
"[30, 106]","[40, 77]","[50, 70]","[60, 90]"
"[30, 104]","[40, 78]","[50, 72]","[60, 89]"
"[30, 107]","[40, 75]","[50, 71]","[60, 91]"
"[30, 110]","[40, 77]","[50, 70]","[60, 87]"
"[30, 107]","[40, 77]","[50, 73]","[60, 91]"
"[30, 111]","[40, 77]","[50, 71]","[60, 90]"
"[30, 110]","[40, 79]","[50, 73]","[60, 90]"
"[30, 112]","[40, 75]","[50, 71]","[60, 86]"
"[30, 111]","[40, 76]","[50, 73]","[60, 88]"
"[30, 114]","[40, 80]","[50, 71]","[60, 89]"
"[30, 113]","[40, 75]","[50, 71]","[60, 91]"
"[30, 112]","[40, 76]","[50, 72]","[60, 90]"
"[30, 115]","[40, 78]","[50, 70]","[60, 87]"
"[30, 111]","[40, 79]","[50, 70]","[60, 91]"
"[30, 109]","[40, 77]","[50, 71]","[60, 90]"
"[30, 108]","[40, 75]","[50, 70]","[60, 88]"
"[30, 109]","[40, 76]","[50, 69]","[60, 89]"
"[30, 116]","[40, 75]","[50, 73]","[60, 88]"
"[30, 109]","[40, 77]","[50, 72]","[60, 89]"
"[30, 114]","[40, 75]","[50, 72]","[60, 88]"
"[30, 111]","[40, 78]","[50, 69]","[60, 89]"
"[30, 111]","[40, 76]","[50, 72]","[60, 88]"
"[30, 113]","[40, 77]","[50, 69]","[60, 93]"
"[30, 111]","[40, 76]","[50, 74]","[60, 91]"
"[30, 111]","[40, 76]","[50, 71]","[60, 91]"
"[30, 113]","[40, 77]","[50, 70]","[60, 88]"
"[30, 111]","[40, 77]","[50, 70]","[60, 89]"
"[30, 110]","[40, 77]","[50, 72]","[60, 91]"
"[30, 114]","[40, 77]","[50, 70]","[60, 88]"
"[30, 109]","[40, 77]","[50, 69]","[60, 90]"
"[30, 114]","[40, 74]","[50, 72]","[60, 87]"
"[30, 116]","[40, 77]","[50, 72]","[60, 89]"
"[30, 110]","[40, 76]","[50, 74]","[60, 88]"
"[30, 115]","[40, 76]","[50, 69]","[60, 90]"
"[30, 115]","[40, 79]","[50, 70]","[60, 86]"
"[30, 113]","[40, 77]","[50, 69]","[60, 88]"
"[30, 109]","[40, 76]","[50, 71]","[60, 87]"
"[30, 116]","[40, 77]","[50, 70]","[60, 89]"
"[30, 110]","[40, 76]","[50, 72]","[60, 92]"
"[30, 111]","[40, 77]","[50, 71]","[60, 88]"
"[30, 112]","[40, 78]","[50, 72]","[60, 90]"
"[30, 115]","[40, 77]","[50, 70]","[60, 91]"
"[30, 107]","[40, 75]","[50, 73]","[60, 92]"
"[30, 112]","[40, 77]","[50, 72]","[60, 90]"
"[30, 108]","[40, 79]","[50, 69]","[60, 89]"
"[30, 119]","[40, 75]","[50, 72]","[60, 91]"
"[30, 110]","[40, 75]","[50, 73]","[60, 88]"
"[30, 115]","[40, 76]","[50, 71]","[60, 94]"
"[30, 111]","[40, 76]","[50, 71]","[60, 92]"
"[30, 111]","[40, 78]","[50, 72]","[60, 92]"
"[30, 107]","[40, 74]","[50, 71]","[60, 88]"
"[30, 113]","[40, 79]","[50, 70]","[60, 94]"
"[30, 108]","[40, 76]","[50, 71]","[60, 89]"
"[30, 110]","[40, 76]","[50, 71]","[60, 90]"
"[30, 114]","[40, 77]","[50, 74]","[60, 89]"
"[30, 111]","[40, 78]","[50, 68]","[60, 90]"
"[30, 112]","[40, 78]","[50, 73]","[60, 96]"
"[30, 110]","[40, 74]","[50, 73]","[60, 89]"
"[30, 112]","[40, 76]","[50, 72]","[60, 90]"
"[30, 111]","[40, 76]","[50, 71]","[60, 90]"
"[30, 110]","[40, 77]","[50, 71]","[60, 90]"
"[30, 107]","[40, 77]","[50, 70]","[60, 88]"
"[30, 113]","[40, 76]","[50, 70]","[60, 89]"
"[30, 109]","[40, 77]","[50, 71]","[60, 88]"
"[30, 112]","[40, 77]","[50, 70]","[60, 90]"
"[30, 112]","[40, 80]","[50, 71]","[60, 91]"
"[30, 114]","[40, 77]","[50, 73]","[60, 89]"
"[30, 112]","[40, 76]","[50, 71]","[60, 89]"
"[30, 110]","[40, 76]","[50, 71]","[60, 90]"
"[30, 106]","[40, 75]","[50, 71]","[60, 89]"
"[30, 117]","[40, 76]","[50, 69]","[60, 89]"
"[30, 115]","[40, 75]","[50, 70]","[60, 88]"
"[30, 113]","[40, 76]","[50, 71]","[60, 90]"
"[30, 110]","[40, 76]","[50, 71]","[60, 89]"
"[30, 112]","[40, 76]","[50, 72]","[60, 86]"
"[30, 114]","[40, 75]","[50, 70]","[60, 91]"
"[30, 110]","[40, 75]","[50, 72]","[60, 92]"
"[30, 111]","[40, 77]","[50, 71]","[60, 90]"
"[30, 110]","[40, 78]","[50, 72]","[60, 88]"
"[30, 114]","[40, 74]","[50, 71]","[60, 92]"
"[30, 109]","[40, 77]","[50, 72]","[60, 91]"
"[30, 112]","[40, 77]","[50, 72]","[60, 92]"
"[30, 111]","[40, 77]","[50, 73]","[60, 88]"
"[30, 108]","[40, 76]","[50, 71]","[60, 91]"
"[30, 113]","[40, 79]","[50, 70]","[60, 90]"
"[30, 112]","[40, 76]","[50, 73]","[60, 89]"
"[30, 116]","[40, 77]","[50, 72]","[60, 89]"
"[30, 112]","[40, 79]","[50, 70]","[60, 89]"
"[30, 109]","[40, 79]","[50, 72]","[60, 90]"
"[30, 112]","[40, 79]","[50, 73]","[60, 89]"
"[30, 113]","[40, 78]","[50, 70]","[60, 88]"
"[30, 113]","[40, 77]","[50, 72]","[60, 89]"
"[30, 111]","[40, 74]","[50, 69]","[60, 89]"
"[30, 108]","[40, 77]","[50, 71]","[60, 90]"
"[30, 111]","[40, 74]","[50, 70]","[60, 91]"
"[30, 108]","[40, 81]","[50, 73]","[60, 91]"
"[30, 110]","[40, 76]","[50, 72]","[60, 89]"
