"[43.815534827411476, 180.72677024969013]"
"[54.594912304760854, 178.36812358527902]"
"[43.96438136471754, 177.7280548609936]"
"[49.26514763586827, 177.12499948975986]"
"[49.29582292518477, 174.12128852580844]"
"[43.916844886440394, 181.73974421172622]"
"[49.11704356284396, 178.1178367568862]"
"[49.207693702956725, 174.11584888393767]"
"[43.898534836184425, 178.72617413148018]"
"[44.163107796265464, 174.73378421301294]"
"[49.26514763586827, 177.12499948975986]"
"[44.01209405028072, 177.73235317002025]"
"[49.094394797298435, 182.12377729523035]"
"[44.06981169330673, 179.74546336544083]"
"[49.19245087802389, 180.12606524567676]"
"[49.260808315708175, 176.12288968124975]"
"[49.247931709311395, 178.12578573420743]"
"[49.178009268932556, 177.1196968609718]"
"[30.0, 174.44999998573857]","[49.417666281708144, 178.13595008899773]"
"[54.5698049249424, 181.36872804555603]"
"[43.887093008655924, 180.73316443214665]"
"[49.18289839119005, 178.12184820438497]"
"[54.597323910191584, 179.36865275177345]"
"[49.38972664505373, 176.1307031695837]"
"[49.001027395273724, 181.11633030322076]"
"[30.0, 180.44999978430178]","[49.669703719390725, 171.13850378906076]"
"[49.247931709311395, 178.12578573420743]"
"[43.874521197952404, 178.7240091076055]"
"[44.465688785354985, 174.76094434462277]"
"[40.092812369006054, 162.14761836758103]"
"[54.51479024148535, 179.36614786622408]"
"[49.464720787858845, 173.12975019908873]"
"[30.0, 179.44999991259078]","[49.42428037623906, 180.13982527667378]"
"[43.588015470476186, 182.71439269714844]"
"[30.0, 172.44999998573857]","[49.308184297579366, 177.12760246394677]"
"[43.922501661137844, 178.72833161754704]"
"[49.38972664505373, 176.1307031695837]"
"[54.73361102567654, 175.37094298339505]"
"[48.995073105314134, 180.1141140644552]"
"[30.0, 174.44999998573857]","[49.76970472054531, 169.14089822310132]"
"[49.13908589075298, 178.11918213577115]"
"[43.946362564025385, 178.73047657081673]"
"[43.646011452459845, 180.7115092102619]"
"[49.045225222741124, 181.11900896816016]"
"[49.26514763586827, 177.12499948975986]"
"[49.25640518750665, 175.12075168407964]"
"[30.0, 174.44999998573857]","[49.14752633825381, 184.13046019718618]"
"[43.97015905654326, 178.73261229764663]"
"[49.26514763586827, 177.12499948975986]"
"[43.48029183220713, 187.72453681910756]"
"[49.34324522435668, 175.12605769104127]"
"[49.312216210695944, 178.12965439974627]"
"[40.13104240819121, 164.15360490152736]"
"[44.37381411029364, 174.75275338175726]"
"[40.09082127825282, 165.15299172909954]"
"[49.42536008568232, 174.12920343941323]"
"[54.62965680033098, 179.36962355803104]"
"[49.42869068969911, 175.13123627861683]"
"[44.03582281189121, 177.73448612152652]"
"[54.64354361564714, 178.36959066598166]"
"[49.244132358460554, 182.1326818962018]"
"[54.56721353222374, 180.36819932176033]"
"[49.504256542338595, 172.13030273233406]"
"[49.243495788857956, 177.1236859301113]"
"[54.594912304760854, 178.36812358527902]"
"[43.96438136471754, 177.7280548609936]"
