"[40, 24]","[50, 22]","[60, 123]"
"[40, 25]","[50, 21]","[60, 120]"
"[40, 24]","[50, 22]","[60, 131]"
"[40, 26]","[50, 23]","[60, 121]"
"[40, 24]","[50, 23]","[60, 120]"
"[40, 23]","[50, 23]","[60, 130]"
"[40, 24]","[50, 20]","[60, 125]"
"[40, 25]","[50, 20]","[60, 123]"
"[40, 23]","[50, 24]","[60, 124]"
"[40, 25]","[50, 22]","[60, 125]"
"[40, 25]","[50, 21]","[60, 121]"
"[40, 22]","[50, 22]","[60, 130]"
"[40, 24]","[50, 22]","[60, 124]"
"[40, 23]","[50, 23]","[60, 126]"
"[40, 23]","[50, 22]","[60, 124]"
"[40, 23]","[50, 24]","[60, 125]"
"[40, 26]","[50, 21]","[60, 126]"
"[40, 23]","[50, 21]","[60, 125]"
"[40, 25]","[50, 24]","[60, 125]"
"[40, 24]","[50, 23]","[60, 124]"
"[40, 24]","[50, 21]","[60, 123]"
"[40, 25]","[50, 23]","[60, 124]"
"[40, 24]","[50, 22]","[60, 122]"
"[40, 23]","[50, 23]","[60, 123]"
"[40, 25]","[50, 22]","[60, 124]"
"[40, 25]","[50, 23]","[60, 126]"
"[40, 24]","[50, 22]","[60, 126]"
"[40, 23]","[50, 21]","[60, 124]"
"[40, 25]","[50, 23]","[60, 125]"
"[40, 25]","[50, 22]","[60, 123]"
"[40, 25]","[50, 24]","[60, 123]"
"[40, 25]","[50, 22]","[60, 124]"
"[40, 25]","[50, 24]","[60, 119]"
"[40, 25]","[50, 21]","[60, 121]"
"[40, 25]","[50, 22]","[60, 123]"
"[40, 23]","[50, 22]","[60, 126]"
"[40, 26]","[50, 22]","[60, 119]"
"[40, 24]","[50, 22]","[60, 123]"
"[40, 25]","[50, 21]","[60, 124]"
"[40, 24]","[50, 23]","[60, 124]"
"[40, 26]","[50, 20]","[60, 128]"
"[40, 23]","[50, 23]","[60, 124]"
"[40, 24]","[50, 23]","[60, 129]"
"[40, 24]","[50, 23]","[60, 130]"
"[40, 24]","[50, 23]","[60, 127]"
"[40, 22]","[50, 21]","[60, 123]"
"[40, 25]","[50, 23]","[60, 125]"
"[40, 24]","[50, 22]","[60, 126]"
"[40, 23]","[50, 23]","[60, 129]"
"[40, 22]","[50, 23]","[60, 127]"
"[40, 25]","[50, 24]","[60, 123]"
"[40, 24]","[50, 23]","[60, 122]"
"[40, 23]","[50, 22]","[60, 129]"
"[40, 25]","[50, 22]","[60, 118]"
"[40, 24]","[50, 21]","[60, 125]"
"[40, 22]","[50, 24]","[60, 129]"
"[40, 24]","[50, 24]","[60, 121]"
"[40, 25]","[50, 22]","[60, 122]"
"[40, 25]","[50, 22]","[60, 129]"
"[40, 24]","[50, 22]","[60, 126]"
"[40, 25]","[50, 24]","[60, 120]"
"[40, 24]","[50, 21]","[60, 125]"
"[40, 25]","[50, 24]","[60, 125]"
"[40, 25]","[50, 22]","[60, 125]"
"[40, 25]","[50, 22]","[60, 129]"
"[40, 23]","[50, 24]","[60, 121]"
"[40, 25]","[50, 25]","[60, 126]"
"[40, 24]","[50, 22]","[60, 126]"
"[40, 25]","[50, 23]","[60, 124]"
"[40, 23]","[50, 22]","[60, 125]"
"[40, 22]","[50, 22]","[60, 123]"
"[40, 24]","[50, 23]","[60, 125]"
"[40, 24]","[50, 22]","[60, 126]"
"[40, 24]","[50, 20]","[60, 125]"
"[40, 24]","[50, 21]","[60, 121]"
"[40, 24]","[50, 21]","[60, 124]"
"[40, 24]","[50, 23]","[60, 125]"
"[40, 27]","[50, 21]","[60, 112]"
"[40, 23]","[50, 22]","[60, 123]"
"[40, 23]","[50, 23]","[60, 123]"
"[40, 24]","[50, 21]","[60, 118]"
"[40, 24]","[50, 23]","[60, 126]"
"[40, 23]","[50, 22]","[60, 126]"
"[40, 24]","[50, 20]","[60, 121]"
"[40, 24]","[50, 22]","[60, 126]"
"[40, 24]","[50, 22]","[60, 121]"
"[40, 23]","[50, 22]","[60, 125]"
"[40, 24]","[50, 22]","[60, 128]"
"[40, 25]","[50, 22]","[60, 125]"
"[40, 26]","[50, 24]","[60, 128]"
"[40, 24]","[50, 21]","[60, 125]"
"[40, 25]","[50, 24]","[60, 126]"
"[40, 26]","[50, 22]","[60, 120]"
"[40, 23]","[50, 23]","[60, 121]"
"[40, 25]","[50, 23]","[60, 123]"
"[40, 25]","[50, 23]","[60, 126]"
"[40, 23]","[50, 22]","[60, 119]"
"[40, 24]","[50, 23]","[60, 128]"
"[40, 24]","[50, 22]","[60, 122]"
"[40, 25]","[50, 20]","[60, 124]"
"[40, 25]","[50, 21]","[60, 120]"
"[40, 26]","[50, 22]","[60, 122]"
"[40, 23]","[50, 20]","[60, 123]"
"[40, 25]","[50, 21]","[60, 125]"
"[40, 24]","[50, 22]","[60, 123]"
"[40, 26]","[50, 20]","[60, 124]"
"[40, 23]","[50, 21]","[60, 126]"
"[40, 24]","[50, 22]","[60, 126]"
"[40, 26]","[50, 20]","[60, 116]"
"[40, 25]","[50, 23]","[60, 121]"
"[40, 26]","[50, 23]","[60, 119]"
"[40, 23]","[50, 22]","[60, 124]"
"[40, 25]","[50, 23]","[60, 119]"
"[40, 25]","[50, 21]","[60, 125]"
"[40, 27]","[50, 23]","[60, 118]"
"[40, 24]","[50, 21]","[60, 121]"
"[40, 27]","[50, 23]","[60, 120]"
"[40, 24]","[50, 23]","[60, 122]"
"[40, 26]","[50, 21]","[60, 123]"
"[40, 25]","[50, 23]","[60, 121]"
"[40, 26]","[50, 22]","[60, 124]"
"[40, 24]","[50, 22]","[60, 118]"
"[40, 25]","[50, 22]","[60, 129]"
"[40, 24]","[50, 22]","[60, 120]"
"[40, 22]","[50, 21]","[60, 123]"
"[40, 25]","[50, 21]","[60, 129]"
"[40, 22]","[50, 22]","[60, 123]"
"[40, 24]","[50, 25]","[60, 121]"
"[40, 25]","[50, 20]","[60, 124]"
"[40, 23]","[50, 21]","[60, 124]"
"[40, 25]","[50, 23]","[60, 118]"
"[40, 25]","[50, 21]","[60, 125]"
"[40, 24]","[50, 24]","[60, 129]"
"[40, 23]","[50, 21]","[60, 122]"
"[40, 25]","[50, 21]","[60, 118]"
"[40, 23]","[50, 22]","[60, 119]"
"[40, 25]","[50, 21]","[60, 119]"
"[40, 24]","[50, 22]","[60, 119]"
"[40, 25]","[50, 23]","[60, 124]"
"[40, 24]","[50, 21]","[60, 118]"
"[40, 25]","[50, 24]","[60, 123]"
"[40, 25]","[50, 21]","[60, 119]"
"[40, 25]","[50, 22]","[60, 114]"
"[40, 25]","[50, 22]","[60, 124]"
"[40, 26]","[50, 23]","[60, 123]"
"[40, 25]","[50, 21]","[60, 117]"
"[40, 26]","[50, 21]","[60, 120]"
"[40, 24]","[50, 19]","[60, 124]"
"[40, 23]","[50, 21]","[60, 120]"
"[40, 24]","[50, 21]","[60, 121]"
"[40, 23]","[50, 23]","[60, 120]"
"[40, 24]","[50, 22]","[60, 123]"
"[40, 23]","[50, 21]","[60, 120]"
"[40, 25]","[50, 22]","[60, 125]"
"[40, 26]","[50, 22]","[60, 126]"
"[40, 24]","[50, 23]","[60, 123]"
"[40, 26]","[50, 21]","[60, 119]"
"[40, 23]","[50, 22]","[60, 117]"
"[40, 25]","[50, 22]","[60, 127]"
"[40, 26]","[50, 23]","[60, 125]"
"[40, 25]","[50, 22]","[60, 122]"
"[40, 26]","[50, 23]","[60, 123]"
"[40, 24]","[50, 24]","[60, 116]"
"[40, 26]","[50, 22]","[60, 123]"
"[40, 22]","[50, 21]","[60, 125]"
"[40, 27]","[50, 21]","[60, 123]"
"[40, 26]","[50, 24]","[60, 126]"
"[40, 24]","[50, 23]","[60, 126]"
"[40, 23]","[50, 21]","[60, 123]"
"[40, 24]","[50, 21]","[60, 123]"
"[40, 26]","[50, 23]","[60, 126]"
