"[30, 121]","[40, 104]","[50, 100]","[60, 115]"
"[30, 129]","[40, 105]","[50, 99]","[60, 115]"
"[30, 121]","[40, 103]","[50, 102]","[60, 113]"
"[30, 125]","[40, 106]","[50, 102]","[60, 118]"
"[30, 123]","[40, 103]","[50, 99]","[60, 116]"
"[30, 125]","[40, 104]","[50, 100]","[60, 113]"
"[30, 125]","[40, 102]","[50, 104]","[60, 115]"
"[30, 114]","[40, 106]","[50, 101]","[60, 110]"
"[30, 123]","[40, 104]","[50, 96]","[60, 110]"
"[30, 122]","[40, 103]","[50, 102]","[60, 112]"
"[30, 124]","[40, 101]","[50, 102]","[60, 114]"
"[30, 127]","[40, 105]","[50, 102]","[60, 115]"
"[30, 126]","[40, 105]","[50, 102]","[60, 116]"
"[30, 127]","[40, 105]","[50, 105]","[60, 115]"
"[30, 121]","[40, 104]","[50, 102]","[60, 113]"
"[30, 122]","[40, 104]","[50, 98]","[60, 114]"
"[30, 122]","[40, 102]","[50, 102]","[60, 114]"
"[30, 126]","[40, 104]","[50, 99]","[60, 114]"
"[30, 123]","[40, 105]","[50, 101]","[60, 114]"
"[30, 122]","[40, 105]","[50, 103]","[60, 115]"
"[30, 123]","[40, 102]","[50, 104]","[60, 116]"
"[30, 126]","[40, 104]","[50, 103]","[60, 113]"
"[30, 127]","[40, 107]","[50, 98]","[60, 113]"
"[30, 122]","[40, 105]","[50, 100]","[60, 116]"
"[30, 125]","[40, 104]","[50, 101]","[60, 113]"
"[30, 127]","[40, 99]","[50, 100]","[60, 111]"
"[30, 125]","[40, 105]","[50, 102]","[60, 117]"
"[30, 125]","[40, 102]","[50, 103]","[60, 113]"
"[30, 120]","[40, 109]","[50, 102]","[60, 116]"
"[30, 122]","[40, 105]","[50, 100]","[60, 112]"
"[30, 129]","[40, 101]","[50, 100]","[60, 116]"
"[30, 126]","[40, 103]","[50, 101]","[60, 117]"
"[30, 130]","[40, 103]","[50, 100]","[60, 115]"
"[30, 122]","[40, 106]","[50, 102]","[60, 113]"
"[30, 127]","[40, 103]","[50, 102]","[60, 119]"
"[30, 121]","[40, 106]","[50, 104]","[60, 115]"
"[30, 128]","[40, 104]","[50, 101]","[60, 116]"
"[30, 122]","[40, 103]","[50, 101]","[60, 116]"
"[30, 123]","[40, 105]","[50, 102]","[60, 114]"
"[30, 120]","[40, 105]","[50, 102]","[60, 115]"
"[30, 123]","[40, 107]","[50, 103]","[60, 114]"
"[30, 129]","[40, 105]","[50, 102]","[60, 114]"
"[30, 122]","[40, 105]","[50, 103]","[60, 112]"
"[30, 123]","[40, 103]","[50, 102]","[60, 113]"
"[30, 125]","[40, 101]","[50, 102]","[60, 113]"
"[30, 122]","[40, 104]","[50, 101]","[60, 115]"
"[30, 124]","[40, 105]","[50, 103]","[60, 116]"
"[30, 126]","[40, 104]","[50, 101]","[60, 116]"
"[30, 121]","[40, 103]","[50, 103]","[60, 116]"
"[30, 123]","[40, 104]","[50, 100]","[60, 110]"
"[30, 125]","[40, 104]","[50, 99]","[60, 107]"
"[30, 127]","[40, 101]","[50, 104]","[60, 114]"
"[30, 123]","[40, 107]","[50, 100]","[60, 114]"
"[30, 127]","[40, 103]","[50, 99]","[60, 113]"
"[30, 126]","[40, 105]","[50, 99]","[60, 112]"
"[30, 122]","[40, 100]","[50, 104]","[60, 116]"
"[30, 118]","[40, 103]","[50, 101]","[60, 112]"
"[30, 115]","[40, 105]","[50, 102]","[60, 113]"
"[30, 126]","[40, 104]","[50, 101]","[60, 116]"
