"[30, 172]","[40, 171]","[50, 160]","[60, 171]","[70, 191]"
"[30, 168]","[40, 166]","[50, 163]","[60, 171]","[70, 195]"
"[30, 174]","[40, 162]","[50, 160]","[60, 170]","[70, 191]"
"[30, 172]","[40, 170]","[50, 163]","[60, 174]","[70, 195]"
"[30, 165]","[40, 168]","[50, 163]","[60, 169]","[70, 194]"
"[40, 164]","[50, 162]","[60, 175]","[70, 195]"
"[30, 179]","[40, 168]","[50, 159]","[60, 171]","[70, 194]"
"[40, 167]","[50, 163]","[60, 171]","[70, 187]"
"[30, 165]","[40, 165]","[50, 158]","[60, 172]","[70, 194]"
"[40, 166]","[50, 156]","[60, 168]"
"[40, 165]","[50, 164]","[60, 168]","[70, 193]"
"[30, 170]","[40, 167]","[50, 154]","[60, 169]","[70, 193]"
"[30, 174]","[40, 164]","[50, 163]","[60, 169]","[70, 192]"
"[30, 173]","[40, 165]","[50, 158]","[60, 173]"
"[30, 169]","[40, 172]","[50, 164]","[60, 172]","[70, 191]"
"[30, 176]","[40, 168]","[50, 156]","[60, 172]","[70, 191]"
"[30, 169]","[40, 160]","[50, 159]","[60, 175]","[70, 188]"
"[30, 175]","[40, 163]","[50, 163]","[60, 171]","[70, 190]"
"[30, 174]","[40, 166]","[50, 160]","[60, 172]","[70, 196]"
"[30, 166]","[40, 167]","[50, 162]","[60, 173]","[70, 194]"
"[30, 176]","[40, 165]","[50, 160]","[60, 174]","[70, 192]"
"[30, 172]","[40, 167]","[50, 161]","[60, 167]","[70, 193]"
"[30, 173]","[40, 168]","[50, 165]","[60, 169]","[70, 193]"
"[40, 165]","[50, 159]","[60, 175]","[70, 192]"
"[30, 174]","[40, 165]","[50, 164]","[60, 170]","[70, 184]"
"[30, 173]","[40, 162]","[50, 160]","[60, 172]","[70, 194]"
"[30, 175]","[40, 165]","[50, 161]","[60, 175]"
"[30, 170]","[40, 163]","[50, 165]","[60, 171]","[70, 186]"
"[40, 167]","[50, 159]","[60, 167]"
"[30, 172]","[40, 165]","[50, 166]","[60, 170]","[70, 192]"
"[30, 171]","[40, 171]","[50, 167]","[60, 167]","[70, 191]"
"[40, 161]","[50, 158]","[60, 174]","[70, 194]"
"[40, 158]","[50, 159]","[60, 167]","[70, 194]"
"[30, 171]","[40, 162]","[50, 159]","[60, 172]"
"[30, 176]","[40, 161]","[50, 160]","[60, 169]","[70, 193]"
"[30, 174]","[40, 167]","[50, 159]","[60, 175]","[70, 196]"
"[30, 170]","[40, 169]","[50, 163]","[60, 170]"
"[30, 176]","[40, 167]","[50, 162]","[60, 165]"
"[30, 178]","[40, 167]","[50, 164]","[60, 170]","[70, 192]"
"[30, 175]","[40, 164]","[50, 162]","[60, 176]","[70, 188]"
"[30, 173]","[40, 167]","[50, 159]","[60, 172]","[70, 193]"
"[40, 165]","[50, 161]","[60, 174]"
"[40, 165]","[50, 161]","[60, 170]","[70, 193]"
"[40, 164]","[50, 159]","[60, 169]","[70, 192]"
"[40, 165]","[50, 161]","[60, 167]","[70, 193]"
"[30, 169]","[40, 171]","[50, 165]","[60, 168]","[70, 192]"
"[30, 168]","[40, 164]","[50, 162]","[60, 175]","[70, 192]"
"[30, 176]","[40, 166]","[50, 163]","[60, 169]","[70, 194]"
"[40, 164]","[50, 158]","[60, 171]","[70, 196]"
"[40, 160]","[50, 163]","[60, 168]"
"[30, 176]","[40, 165]","[50, 159]","[60, 174]","[70, 196]"
"[40, 169]","[50, 160]","[60, 174]"
"[30, 171]","[40, 160]","[50, 162]","[60, 174]","[70, 189]"
"[40, 166]","[50, 161]","[60, 174]","[70, 190]"
"[40, 162]","[50, 167]","[60, 175]","[70, 192]"
"[30, 166]","[40, 170]","[50, 159]","[60, 170]","[70, 190]"
"[30, 175]","[40, 167]","[50, 157]","[60, 173]","[70, 191]"
"[30, 169]","[40, 166]","[50, 161]","[60, 169]","[70, 189]"
"[30, 170]","[40, 164]","[50, 156]","[60, 173]","[70, 191]"
"[30, 174]","[40, 165]","[50, 162]","[60, 172]","[70, 191]"
"[40, 163]","[50, 162]","[60, 169]","[70, 188]"
"[40, 165]","[50, 158]","[60, 170]","[70, 191]"
"[30, 170]","[40, 165]","[50, 161]","[60, 174]","[70, 185]"
"[40, 173]","[50, 158]","[60, 176]","[70, 192]"
"[30, 170]","[40, 161]","[50, 163]","[60, 168]","[70, 191]"
"[30, 170]","[40, 164]","[50, 159]","[60, 171]","[70, 194]"
"[40, 168]","[50, 160]","[60, 170]","[70, 186]"
"[40, 160]","[50, 162]","[60, 175]","[70, 191]"
