"[40, 52]","[50, 45]","[60, 60]"
"[40, 54]","[50, 45]","[60, 65]"
"[40, 53]","[50, 44]","[60, 62]"
"[40, 50]","[50, 46]","[60, 61]"
"[40, 50]","[50, 45]","[60, 62]"
"[40, 50]","[50, 45]","[60, 62]"
"[40, 51]","[50, 43]","[60, 61]"
"[40, 53]","[50, 43]","[60, 60]"
"[40, 52]","[50, 46]","[60, 58]"
"[40, 52]","[50, 47]","[60, 62]"
"[40, 51]","[50, 45]","[60, 60]"
"[40, 50]","[50, 43]","[60, 62]"
"[40, 51]","[50, 46]","[60, 62]"
"[40, 50]","[50, 45]","[60, 62]"
"[40, 51]","[50, 42]","[60, 64]"
"[40, 53]","[50, 46]","[60, 64]"
"[40, 52]","[50, 45]","[60, 64]"
"[40, 51]","[50, 45]","[60, 62]"
"[40, 52]","[50, 45]","[60, 59]"
"[40, 54]","[50, 45]","[60, 59]"
"[40, 53]","[50, 46]","[60, 60]"
"[40, 53]","[50, 45]","[60, 59]"
"[40, 54]","[50, 44]","[60, 60]"
"[40, 53]","[50, 44]","[60, 60]"
"[40, 51]","[50, 43]","[60, 61]"
"[40, 51]","[50, 44]","[60, 61]"
"[40, 53]","[50, 44]","[60, 60]"
"[40, 50]","[50, 47]","[60, 63]"
"[40, 53]","[50, 45]","[60, 60]"
"[40, 54]","[50, 45]","[60, 61]"
"[40, 50]","[50, 39]","[60, 60]"
"[40, 52]","[50, 43]","[60, 62]"
"[40, 53]","[50, 46]","[60, 61]"
"[40, 51]","[50, 46]","[60, 62]"
"[40, 53]","[50, 45]","[60, 59]"
"[40, 53]","[50, 45]","[60, 60]"
"[40, 51]","[50, 44]","[60, 63]"
"[40, 51]","[50, 46]","[60, 60]"
"[40, 53]","[50, 45]","[60, 61]"
"[40, 52]","[50, 45]","[60, 63]"
"[40, 54]","[50, 45]","[60, 62]"
"[40, 52]","[50, 45]","[60, 60]"
"[40, 54]","[50, 43]","[60, 60]"
"[40, 50]","[50, 43]","[60, 61]"
"[40, 52]","[50, 48]","[60, 61]"
"[40, 51]","[50, 45]","[60, 60]"
"[40, 54]","[50, 46]","[60, 60]"
"[40, 54]","[50, 45]","[60, 60]"
"[40, 52]","[50, 44]","[60, 63]"
"[40, 53]","[50, 45]","[60, 63]"
"[40, 54]","[50, 44]","[60, 62]"
"[40, 53]","[50, 44]","[60, 63]"
"[40, 55]","[50, 46]","[60, 59]"
"[40, 55]","[50, 43]","[60, 60]"
"[40, 51]","[50, 46]","[60, 60]"
"[40, 51]","[50, 44]","[60, 63]"
"[40, 55]","[50, 46]","[60, 62]"
"[40, 51]","[50, 46]","[60, 59]"
"[40, 53]","[50, 44]","[60, 62]"
"[40, 52]","[50, 43]","[60, 60]"
"[40, 51]","[50, 44]","[60, 61]"
"[40, 52]","[50, 45]","[60, 62]"
"[40, 51]","[50, 45]","[60, 61]"
"[40, 50]","[50, 43]","[60, 63]"
"[40, 51]","[50, 46]","[60, 59]"
"[40, 52]","[50, 43]","[60, 63]"
"[40, 51]","[50, 45]","[60, 62]"
"[40, 51]","[50, 44]","[60, 62]"
"[40, 50]","[50, 42]","[60, 61]"
"[40, 50]","[50, 44]","[60, 64]"
"[40, 52]","[50, 44]","[60, 62]"
"[40, 52]","[50, 47]","[60, 63]"
"[40, 52]","[50, 44]","[60, 62]"
"[40, 53]","[50, 44]","[60, 62]"
"[40, 54]","[50, 44]","[60, 61]"
"[40, 53]","[50, 44]","[60, 61]"
"[40, 51]","[50, 44]","[60, 60]"
"[40, 53]","[50, 44]","[60, 63]"
"[40, 55]","[50, 43]","[60, 65]"
"[40, 53]","[50, 45]","[60, 59]"
"[40, 50]","[50, 44]","[60, 61]"
"[40, 54]","[50, 46]","[60, 62]"
"[40, 51]","[50, 45]","[60, 61]"
"[40, 52]","[50, 46]","[60, 62]"
"[40, 51]","[50, 44]","[60, 60]"
"[40, 51]","[50, 45]","[60, 60]"
"[40, 49]","[50, 44]","[60, 62]"
"[40, 51]","[50, 44]","[60, 60]"
"[40, 54]","[50, 44]","[60, 63]"
"[40, 54]","[50, 43]","[60, 59]"
"[40, 51]","[50, 46]","[60, 62]"
"[40, 50]","[50, 43]","[60, 63]"
"[40, 54]","[50, 43]","[60, 61]"
"[40, 52]","[50, 46]","[60, 61]"
"[40, 52]","[50, 46]","[60, 62]"
"[40, 51]","[50, 43]","[60, 60]"
"[40, 54]","[50, 47]","[60, 59]"
"[40, 52]","[50, 44]","[60, 60]"
"[40, 52]","[50, 45]","[60, 61]"
"[40, 52]","[50, 45]","[60, 59]"
"[40, 51]","[50, 43]","[60, 60]"
"[40, 54]","[50, 43]","[60, 62]"
"[40, 54]","[50, 44]","[60, 63]"
"[40, 53]","[50, 43]","[60, 62]"
"[40, 52]","[50, 46]","[60, 61]"
"[40, 52]","[50, 44]","[60, 63]"
"[40, 51]","[50, 45]","[60, 59]"
"[40, 53]","[50, 45]","[60, 62]"
"[40, 52]","[50, 45]","[60, 62]"
"[40, 52]","[50, 45]","[60, 59]"
"[40, 51]","[50, 44]","[60, 58]"
"[40, 51]","[50, 46]","[60, 59]"
"[40, 51]","[50, 45]","[60, 61]"
"[40, 53]","[50, 44]","[60, 60]"
"[40, 52]","[50, 45]","[60, 59]"
"[40, 52]","[50, 47]","[60, 64]"
"[40, 52]","[50, 45]","[60, 63]"
"[40, 53]","[50, 43]","[60, 60]"
"[40, 52]","[50, 44]","[60, 59]"
"[40, 53]","[50, 46]","[60, 61]"
"[40, 52]","[50, 44]","[60, 63]"
"[40, 51]","[50, 46]","[60, 59]"
"[40, 54]","[50, 44]","[60, 61]"
"[40, 51]","[50, 42]","[60, 61]"
"[40, 53]","[50, 44]","[60, 62]"
"[40, 54]","[50, 45]","[60, 61]"
"[40, 50]","[50, 42]","[60, 64]"
"[40, 53]","[50, 47]","[60, 61]"
"[40, 54]","[50, 45]","[60, 61]"
"[40, 52]","[50, 46]","[60, 62]"
"[40, 51]","[50, 45]","[60, 60]"
"[40, 52]","[50, 45]","[60, 61]"
"[40, 53]","[50, 43]","[60, 59]"
"[40, 51]","[50, 45]","[60, 62]"
"[40, 50]","[50, 43]","[60, 60]"
"[40, 51]","[50, 44]","[60, 61]"
"[40, 52]","[50, 46]","[60, 60]"
"[40, 50]","[50, 46]","[60, 63]"
"[40, 53]","[50, 46]","[60, 62]"
"[40, 52]","[50, 44]","[60, 63]"
"[40, 54]","[50, 46]","[60, 59]"
"[40, 56]","[50, 46]","[60, 61]"
"[40, 52]","[50, 43]","[60, 60]"
"[40, 51]","[50, 45]","[60, 63]"
"[40, 53]","[50, 44]","[60, 63]"
"[40, 53]","[50, 47]","[60, 61]"
"[40, 53]","[50, 43]","[60, 60]"
"[40, 53]","[50, 42]","[60, 61]"
"[40, 51]","[50, 45]","[60, 62]"
"[40, 53]","[50, 46]","[60, 61]"
"[40, 50]","[50, 43]","[60, 63]"
"[40, 51]","[50, 45]","[60, 61]"
"[40, 52]","[50, 46]","[60, 63]"
"[40, 53]","[50, 44]","[60, 62]"
"[40, 52]","[50, 46]","[60, 60]"
"[40, 54]","[50, 46]","[60, 63]"
"[40, 52]","[50, 46]","[60, 61]"
"[40, 53]","[50, 43]","[60, 62]"
"[40, 53]","[50, 46]","[60, 62]"
"[40, 51]","[50, 45]","[60, 58]"
"[40, 52]","[50, 44]","[60, 59]"
"[40, 52]","[50, 43]","[60, 61]"
"[40, 53]","[50, 45]","[60, 61]"
"[40, 48]","[50, 43]","[60, 60]"
"[40, 51]","[50, 45]","[60, 59]"
"[40, 51]","[50, 46]","[60, 61]"
"[40, 53]","[50, 46]","[60, 61]"
"[40, 53]","[50, 44]","[60, 63]"
"[40, 52]","[50, 45]","[60, 61]"
"[40, 56]","[50, 45]","[60, 61]"
"[40, 51]","[50, 47]","[60, 58]"
"[40, 52]","[50, 44]","[60, 62]"
"[40, 52]","[50, 45]","[60, 63]"
"[40, 50]","[50, 44]","[60, 59]"
"[40, 53]","[50, 44]","[60, 62]"
"[40, 51]","[50, 45]","[60, 61]"
"[40, 53]","[50, 45]","[60, 61]"
"[40, 52]","[50, 45]","[60, 61]"
"[40, 53]","[50, 46]","[60, 60]"
"[40, 51]","[50, 43]","[60, 60]"
"[40, 54]","[50, 45]","[60, 61]"
"[40, 51]","[50, 46]","[60, 60]"
"[40, 53]","[50, 43]","[60, 59]"
"[40, 53]","[50, 45]","[60, 58]"
"[40, 52]","[50, 45]","[60, 60]"
"[40, 53]","[50, 44]","[60, 62]"
"[40, 52]","[50, 45]","[60, 60]"
"[40, 55]","[50, 44]","[60, 61]"
"[40, 52]","[50, 44]","[60, 61]"
"[40, 52]","[50, 46]","[60, 61]"
"[40, 53]","[50, 46]","[60, 62]"
"[40, 52]","[50, 43]","[60, 62]"
"[40, 53]","[50, 43]","[60, 58]"
"[40, 50]","[50, 44]","[60, 58]"
"[40, 53]","[50, 45]","[60, 61]"
"[40, 52]","[50, 44]","[60, 61]"
"[40, 53]","[50, 45]","[60, 60]"
"[40, 52]","[50, 43]","[60, 63]"
"[40, 52]","[50, 46]","[60, 62]"
"[40, 52]","[50, 45]","[60, 62]"
"[40, 52]","[50, 45]","[60, 59]"
"[40, 51]","[50, 42]","[60, 60]"
"[40, 52]","[50, 46]","[60, 61]"
"[40, 53]","[50, 45]","[60, 61]"
"[40, 50]","[50, 44]","[60, 62]"
"[40, 52]","[50, 46]","[60, 63]"
"[40, 52]","[50, 43]","[60, 60]"
"[40, 49]","[50, 44]","[60, 62]"
"[40, 52]","[50, 45]","[60, 61]"
"[40, 52]","[50, 42]","[60, 64]"
"[40, 52]","[50, 47]","[60, 62]"
"[40, 51]","[50, 44]","[60, 58]"
"[40, 51]","[50, 45]","[60, 61]"
"[40, 54]","[50, 45]","[60, 65]"
"[40, 53]","[50, 44]","[60, 61]"
"[40, 50]","[50, 44]","[60, 61]"
"[40, 50]","[50, 43]","[60, 60]"
"[40, 53]","[50, 42]","[60, 60]"
"[40, 50]","[50, 43]","[60, 63]"
"[40, 55]","[50, 44]","[60, 61]"
"[40, 55]","[50, 43]","[60, 61]"
"[40, 52]","[50, 44]","[60, 61]"
"[40, 51]","[50, 44]","[60, 61]"
"[40, 55]","[50, 45]","[60, 62]"
"[40, 53]","[50, 46]","[60, 61]"
"[40, 51]","[50, 44]","[60, 63]"
"[40, 52]","[50, 44]","[60, 60]"
"[40, 53]","[50, 46]","[60, 61]"
"[40, 54]","[50, 44]","[60, 63]"
"[40, 54]","[50, 42]","[60, 64]"
"[40, 53]","[50, 45]","[60, 63]"
"[40, 53]","[50, 45]","[60, 63]"
"[40, 54]","[50, 42]","[60, 62]"
"[40, 52]","[50, 46]","[60, 59]"
"[40, 51]","[50, 44]","[60, 61]"
"[40, 51]","[50, 45]","[60, 61]"
"[40, 55]","[50, 43]","[60, 60]"
"[40, 54]","[50, 46]","[60, 61]"
"[40, 51]","[50, 45]","[60, 60]"
"[40, 53]","[50, 47]","[60, 61]"
"[40, 53]","[50, 45]","[60, 62]"
"[40, 52]","[50, 43]","[60, 60]"
"[40, 54]","[50, 44]","[60, 61]"
"[40, 53]","[50, 44]","[60, 61]"
"[40, 52]","[50, 47]","[60, 62]"
"[40, 55]","[50, 42]","[60, 59]"
"[40, 51]","[50, 43]","[60, 61]"
"[40, 53]","[50, 43]","[60, 59]"
"[40, 52]","[50, 44]","[60, 59]"
"[40, 53]","[50, 46]","[60, 59]"
"[40, 51]","[50, 45]","[60, 61]"
"[40, 53]","[50, 50]","[60, 63]"
"[40, 54]","[50, 44]","[60, 63]"
"[40, 53]","[50, 43]","[60, 63]"
"[40, 54]","[50, 44]","[60, 62]"
"[40, 56]","[50, 46]","[60, 61]"
"[40, 56]","[50, 44]","[60, 60]"
"[40, 51]","[50, 46]","[60, 63]"
"[40, 49]","[50, 45]","[60, 59]"
"[40, 51]","[50, 46]","[60, 63]"
"[40, 53]","[50, 45]","[60, 63]"
"[40, 53]","[50, 41]","[60, 63]"
"[40, 50]","[50, 46]","[60, 61]"
"[40, 52]","[50, 44]","[60, 60]"
"[40, 53]","[50, 45]","[60, 64]"
"[40, 52]","[50, 45]","[60, 60]"
"[40, 53]","[50, 45]","[60, 60]"
"[40, 54]","[50, 45]","[60, 61]"
"[40, 54]","[50, 45]","[60, 61]"
"[40, 52]","[50, 45]","[60, 60]"
"[40, 51]","[50, 45]","[60, 62]"
"[40, 52]","[50, 45]","[60, 61]"
"[40, 52]","[50, 42]","[60, 60]"
"[40, 53]","[50, 43]","[60, 62]"
"[40, 53]","[50, 46]","[60, 61]"
"[40, 54]","[50, 45]","[60, 60]"
"[40, 53]","[50, 43]","[60, 62]"
"[40, 51]","[50, 46]","[60, 61]"
"[40, 52]","[50, 45]","[60, 62]"
"[40, 53]","[50, 44]","[60, 59]"
"[40, 52]","[50, 45]","[60, 61]"
"[40, 54]","[50, 45]","[60, 62]"
"[40, 54]","[50, 45]","[60, 64]"
"[40, 52]","[50, 44]","[60, 60]"
"[40, 52]","[50, 45]","[60, 60]"
"[40, 56]","[50, 44]","[60, 63]"
"[40, 52]","[50, 43]","[60, 60]"
"[40, 53]","[50, 43]","[60, 63]"
"[40, 52]","[50, 43]","[60, 63]"
"[40, 52]","[50, 44]","[60, 59]"
"[40, 53]","[50, 44]","[60, 60]"
"[40, 53]","[50, 45]","[60, 60]"
"[40, 54]","[50, 46]","[60, 63]"
"[40, 52]","[50, 45]","[60, 60]"
"[40, 54]","[50, 43]","[60, 61]"
"[40, 52]","[50, 43]","[60, 58]"
"[40, 53]","[50, 44]","[60, 61]"
"[40, 53]","[50, 47]","[60, 60]"
"[40, 54]","[50, 42]","[60, 61]"
"[40, 53]","[50, 45]","[60, 62]"
