"[14.66574093265646, 84.28136148542417]","[39.18849201088876, 85.7712877090954]"
"[19.260975864583855, 83.76440773057938]","[44.56291462475763, 84.27479221329202]"
"[14.950229321435515, 80.29135890425013]","[39.04167025085314, 84.74442464975468]"
"[24.638853063136263, 83.69178417391325]"
"[19.313553601380214, 84.77913925328487]","[44.59762508793976, 84.2770243779478]"
"[19.260975864583855, 83.76440773057938]","[44.592553758549336, 83.27461830562267]"
"[24.84679849329776, 81.66406158313558]"
"[19.305941471198828, 83.7701588053016]","[44.592553758549336, 83.27461830562267]"
"[14.887460610490981, 81.2893869906596]","[39.12380157009042, 83.74670624973795]"
"[28.933672479287303, 83.84397619848859]"
"[28.833640098453245, 83.81877891783246]"
"[28.928449745754563, 82.81118426598488]"
"[19.471034638512265, 81.77495559332569]","[44.551671164370056, 82.26978923684077]"
"[14.820445065775935, 80.28309022246732]","[39.098324086127484, 85.75987386558121]"
"[19.313553601380214, 84.77913925328487]","[44.68780383239876, 81.27658425063373]"
"[22.07880124386067, 107.98511557469506]"
"[14.714736171672678, 85.08797334900038]","[44.60257219109622, 85.2793657155635]"
"[21.84264978673219, 106.84062488521637]"
"[10.496438092069527, 78.87955772692155]","[39.51016829756834, 80.77169216477648]"
"[14.887460610490981, 81.2893869906596]","[39.26097586458386, 83.76440773057938]"
"[19.515303388780207, 81.78064341132284]","[44.592553758549336, 83.27461830562267]"
"[29.223094561305416, 80.82216714610486]"
"[14.725567850501081, 82.28112131007855]","[39.51530338878021, 81.78064341132284]"
"[14.887460610490981, 81.2893869906596]","[39.1699070771349, 83.75268103314832]"
"[24.835754462375288, 82.70648853811161]"
"[14.855229395903423, 81.28735349327434]","[39.343331928615015, 82.76676823762668]"
"[14.887460610490981, 81.2893869906596]","[39.39475546674678, 83.78144953498898]"
"[14.76750690260381, 85.28964483490489]","[39.179311037556765, 84.76210932534644]"
"[19.381380178067445, 81.76336122950346]","[44.56291462475763, 84.27479221329202]"
"[14.789542296923107, 81.28316941708904]","[38.86623218038675, 85.73005147123443]"
"[19.087928732264892, 84.75039347292591]","[44.59762508793976, 84.2770243779478]"
"[14.949724002947214, 79.28932648717648]","[38.972221684046445, 86.75189196385521]"
"[14.822591571711135, 81.28528125967564]","[39.133810613558616, 84.7562886178798]"
"[14.695463373888964, 83.28123670532614]","[39.26917030912345, 84.77353238070889]"
"[19.26917030912345, 84.77353238070889]","[44.657356441076296, 82.27672002380129]"
"[18.926041888667577, 86.74600920402884]","[44.66574093265647, 84.28136148542417]"
"[15.044045331944977, 79.29527755518092]","[39.133810613558616, 84.7562886178798]"
"[14.883467048930154, 78.28297133860022]","[39.343331928615015, 82.76676823762668]"
"[19.394755505346566, 83.78144953987497]","[44.568327564326644, 85.27719275564806]"
"[19.482117444255973, 83.79246224677985]","[44.622581968198325, 82.27445457409749]"
"[19.313553601380214, 84.77913925328487]","[44.568327564326644, 85.27719275564806]"
"[14.91928684894896, 81.29138202816964]","[38.91342739019334, 85.73617144891325]"
"[14.887460610490981, 81.2893869906596]","[39.26917030912345, 84.77353238070889]"
"[14.759026027768217, 82.28325866812635]","[39.133810613558616, 84.7562886178798]"
"[22.630243186799323, 106.05896383142435]"
"[14.855229395903423, 81.28735349327434]","[39.51530338878021, 81.78064341132284]"
"[28.78327859422881, 83.80604531984889]"
"[14.856910805849447, 82.289436136384]","[39.0879287322649, 84.75039347292591]"
"[25.264639875793634, 81.79159162770834]"
