"[14.429707745774087, 103.28295316332299]","[58.466289460736775, 112.4059652780688]"
"[14.802218316322556, 100.30518365237083]","[58.849886288586625, 111.46109225774465]"
"[43.09875426433598, 106.2228815566918]"
"[14.691609688834877, 102.31107322875376]","[58.874608807687004, 109.42952232243861]"
"[15.360088743494561, 97.35540771526311]","[58.68505849089916, 110.41139327113274]"
"[15.060451337038327, 100.34397047294107]","[58.302917412818964, 115.42850234792871]"
"[14.654180837437044, 102.30546578421519]","[58.224914922853934, 112.35945958816431]"
"[14.546441685570317, 104.31150493354039]","[58.835217529826565, 109.42191028317094]"
"[14.324151685971653, 105.28946002675737]","[58.170675297315725, 114.38567876505526]"
"[14.802521007958438, 101.31652942774697]","[58.07560208491961, 113.34912122534318]"
"[24.019096176972052, 103.23078551207283]","[68.75857686072357, 116.9107904584673]"
"[14.650696640833708, 100.28210900896312]","[58.68505849089916, 110.41139327113274]"
"[14.691609688834877, 102.31107322875376]","[58.38642177948785, 112.390639118803]"
"[14.913976202647234, 100.32205479940578]","[58.79568320832084, 109.41425653992793]"
"[14.801996614908228, 99.29362065281744]","[58.780175502873675, 135.91035673392304]"
"[29.690003162525958, 102.04365045528033]","[74.72393536476326, 111.32504498948668]"
"[15.027940025075623, 98.31652923143467]","[58.764114613819046, 110.42662629233807]"
"[14.802218316322556, 100.30518365237083]","[58.08999061916386, 114.37024963489814]"
"[14.61445933938688, 101.28814156624765]","[57.91774935389623, 116.37343653715807]"
"[30.038336150960937, 99.01616677096992]","[74.66731801055458, 109.32001150360848]"
"[17.725870874321892, 112.2615949545946]","[63.80460479311944, 112.28807494668133]"
"[15.027940025075623, 98.31652923143467]","[58.06399726131112, 115.38333435159265]"
"[14.913976202647234, 100.32205479940578]","[58.14421340842546, 115.39855917307676]"
"[14.61445933938688, 101.28814156624765]","[57.73730908271326, 115.32074900230816]"
"[14.573800193320096, 100.27030870525294]","[58.575262994579106, 111.40863160170025]"
"[14.726842407340353, 100.29373291254069]","[58.13040618674883, 114.37798414438679]"
"[14.840134655613083, 97.27579798216055]","[58.224914922853934, 112.35945958816431]"
"[14.502631894410579, 102.28261828579299]","[58.495508256224745, 111.39326427105301]"
"[14.618671801562744, 103.31126422467722]","[58.33030766111902, 114.41602583510975]"
"[14.190489708075225, 102.23483690462473]","[58.293556467807186, 111.35408752795134]"
"[14.387019153830616, 102.26503489585383]","[58.31820871397117, 113.39577781565924]"
"[14.612343810106589, 100.27623221328957]","[59.176201576701054, 107.45078836070996]"
"[14.203019475185723, 104.26004846596487]","[58.38642177948785, 112.390639118803]"
"[14.46428394358718, 102.27680101824153]","[58.43753621250749, 113.41852889640235]"
"[14.688864833831435, 100.28794287989679]","[58.15706073012492, 113.36484687659816]"
"[14.688864833831435, 100.28794287989679]","[58.37477983244837, 111.36988470266469]"
"[14.46428394358718, 102.27680101824153]","[58.11640655125597, 113.35700604024677]"
"[29.037077345352206, 104.97904514890244]","[74.69886805818793, 111.32385409831389]"
"[14.764635660909452, 100.29948251283096]","[58.37477983244837, 111.36988470266469]"
"[30.312773149665922, 99.09879197798995]","[74.69886805818793, 111.32385409831389]"
"[14.687502208346245, 99.27602897664235]","[57.79575610931365, 116.35022153428073]"
"[14.727845160769702, 101.30529990393765]","[58.27813803022033, 113.38811075254873]"
"[14.690234107168909, 101.29962276500744]","[58.827784266323775, 108.40175174969853]"
"[14.573800193320096, 100.27030870525294]","[57.967861726045314, 114.34678698440311]"
"[14.688864833831435, 100.28794287989679]","[58.415166457540025, 111.37772425988967]"
"[14.802521007958438, 101.31652942774697]","[58.65444064484704, 111.42382868323861]"
"[15.211384675019039, 98.34428984579509]","[58.397909912834315, 113.41098862513464]"
"[14.578776540063936, 102.29412670221352]","[58.237929828056096, 113.38039897122628]"
"[30.040641583678415, 102.14714557771266]","[74.69886805818793, 111.32385409831389]"
"[14.802521007958438, 101.31652942774697]","[58.27813803022033, 113.38811075254873]"
"[14.460666428914886, 101.26466119847966]","[58.3462578968103, 112.3829074622209]"
