"[29.788594451857183, 99.9853665305803]","[75.02861030863365, 114.34197737819763]"
"[29.128711876961194, 101.8752493149379]","[80.0, 111.44999998573857]"
"[28.997023786772857, 104.96722019223012]","[80.0, 114.44999998573857]"
"[28.835803559340885, 104.91947083035896]","[80.0, 108.44999998573857]"
"[28.510140479093902, 105.86591162637053]","[80.0, 109.44999998573857]"
"[28.262426676542194, 105.79191339085459]","[80.0, 114.44999998573857]"
"[28.755230715853646, 103.85165633113748]","[75.05009025403616, 114.34290926980897]"
"[28.713758859641988, 105.92626520774739]","[80.0, 113.44999998573857]"
"[29.325540409607374, 102.97854159628501]","[80.0, 109.44999998573857]"
"[28.713830566734682, 104.88316387896027]","[80.0, 114.44999998573857]"
"[29.240495538262127, 103.99641988911685]","[74.87606378496031, 117.33817703643162]"
"[28.262426676542194, 105.79191339085459]","[75.02832343818396, 115.34290212436174]"
"[28.75418162825353, 105.93819585244752]","[80.0, 105.44999998573857]"
"[29.57137622165487, 102.00833932706732]","[80.0, 112.44999998573857]"
"[28.964684518067997, 101.82539807425256]","[80.0, 109.44999998573857]"
"[27.890920808189573, 106.72445613570896]","[80.0, 112.44999998573857]"
"[28.342379934896496, 104.77164498168256]","[75.0277672217779, 117.34470332820806]"
"[29.291097218108707, 101.92431374884843]","[80.0, 114.44999998573857]"
"[28.964684518067997, 101.82539807425256]","[80.0, 115.44999998573857]"
"[29.3595681582352, 104.03156463419228]","[80.0, 112.44999998573857]"
"[27.975079418757566, 106.74973986366132]","[80.0, 110.44999998573857]"
"[28.507079464831435, 103.77667587632439]","[80.0, 113.44999998573857]"
"[27.856283413195637, 107.75798802771271]","[74.98517220255022, 115.34103347106175]"
"[28.549773492694893, 104.83408591757912]","[80.0, 111.44999998573857]"
"[28.877913636488355, 103.8884937171826]","[80.0, 106.44999998573857]"
"[28.549773492694893, 104.83408591757912]","[75.02861030863365, 114.34197737819763]"
"[28.75418162825353, 105.93819585244752]","[75.00684106765915, 115.34197355635969]"
"[28.91860035625515, 103.90066899815076]","[80.0, 117.44999998573857]"
"[29.200606643451437, 103.98461369012436]","[80.0, 111.44999998573857]"
"[28.348622229596852, 106.86109090734378]","[75.0289016489416, 113.34103697256003]"
"[28.837122812472195, 103.87626120768532]","[75.02861030863365, 114.34197737819763]"
"[29.579578734522073, 100.96682834566201]","[75.02861030863365, 114.34197737819763]"
"[28.216688648581883, 104.73358398078]","[80.0, 113.44999998573857]"
"[28.672931376733246, 103.82686200843149]","[75.0064606387025, 119.34557830914537]"
"[28.058814980313212, 106.77482454494455]","[75.02804208800214, 116.34381003573031]"
"[28.300588934995957, 104.75900820529486]","[80.0, 110.44999998573857]"
"[28.053136836167102, 105.72890057071456]","[75.04916105334927, 116.34471057710137]"
"[28.549773492694893, 104.83408591757912]","[80.0, 110.44999998573857]"
"[27.93992516131328, 107.7829022279078]","[74.8739506401928, 115.33614393716827]"
"[28.508506404959487, 104.82169175889543]","[75.00664682072572, 117.34380818900871]"
"[28.961792968578052, 102.86948902835474]","[80.0, 117.44999998573857]"
"[29.205199913327363, 102.94261890100228]","[80.0, 112.44999998573857]"
"[27.687730044301084, 107.70756827113972]","[80.0, 111.44999998573857]"
"[28.755230715853646, 103.85165633113748]","[75.00704541254512, 113.34007635693395]"
"[28.46712916194792, 104.80925772749292]","[75.05009025403616, 114.34290926980897]"
"[28.877913636488355, 103.8884937171826]","[80.0, 114.44999998573857]"
"[28.91860035625515, 103.90066899815076]","[80.0, 109.44999998573857]"
"[28.510140479093902, 105.86591162637053]","[80.0, 110.44999998573857]"
"[29.405271450608783, 103.00225757092583]","[74.98525986010935, 116.3419738507986]"
"[28.999678961100113, 103.92488917274255]","[80.0, 113.44999998573857]"
"[28.63200747108381, 104.85872181386073]","[80.0, 110.44999998573857]"
"[28.348622229596852, 106.86109090734378]","[80.0, 114.44999998573857]"
"[28.961792968578052, 102.86948902835474]","[80.0, 110.44999998573857]"
"[29.210109236495256, 101.89987780529043]","[80.0, 111.44999998573857]"
"[29.285528271241365, 102.96661229977528]","[75.04916105334927, 116.34471057710137]"
"[29.083953320014476, 102.9062734649482]","[80.0, 111.44999998573857]"
"[28.266336949333706, 106.83668434774611]","[80.0, 109.44999998573857]"
"[28.837122812472195, 103.87626120768532]","[80.0, 110.44999998573857]"
"[28.796226589321453, 103.86398332276234]","[75.05009025403616, 114.34290926980897]"
"[28.835803559340885, 104.91947083035896]","[75.0520576781015, 110.3391150972076]"
"[29.245413160512438, 102.95464031457755]","[80.0, 113.44999998573857]"
"[28.91860035625515, 103.90066899815076]","[80.0, 110.44999998573857]"
"[29.325540409607374, 102.97854159628501]","[75.02861030863365, 114.34197737819763]"
"[28.71413297697673, 103.83928482769575]","[74.96275059941951, 113.33811641628127]"
"[29.083953320014476, 102.9062734649482]","[80.0, 115.44999998573857]"
"[28.79524594266551, 104.9074154168883]","[80.0, 113.44999998573857]"
"[28.46712916194792, 104.80925772749292]","[75.02861030863365, 114.34197737819763]"
"[29.235886891942265, 105.03747828641497]","[75.05105533148185, 112.34104524373909]"
"[29.040063774578954, 103.93692699457533]","[75.0289016489416, 113.34103697256003]"
"[29.205199913327363, 102.94261890100228]","[75.04916105334927, 116.34471057710137]"
"[29.245413160512438, 102.95464031457755]","[80.0, 111.44999998573857]"
"[27.975079418757566, 106.74973986366132]","[80.0, 114.44999998573857]"
"[29.08034804476904, 103.94891836128643]","[75.02861030863365, 114.34197737819763]"
"[28.835803559340885, 104.91947083035896]","[80.0, 109.44999998573857]"
"[28.961792968578052, 102.86948902835474]","[80.0, 112.44999998573857]"
"[29.365455075086608, 102.99042265582865]","[80.0, 108.44999998573857]"
"[29.817858187823433, 101.03831341065604]","[75.04962137405063, 115.34381753221783]"
"[28.713830566734682, 104.88316387896027]","[74.96275059941951, 113.33811641628127]"
"[29.499351382670998, 100.94262190994236]","[80.0, 113.44999998573857]"
"[28.132361120798755, 104.70795914796962]","[74.94219669814643, 117.34104621028717]"
"[29.124470227606665, 102.91843397061348]","[74.9630355317935, 114.33910526066462]"
"[28.345408127421685, 105.81678142379626]","[80.0, 114.44999998573857]"
"[28.183634488584804, 106.81208444918032]","[75.00694141859502, 114.34103319571935]"
"[28.59021411441777, 103.80186809684149]","[80.0, 110.44999998573857]"
"[28.876254595800642, 104.93147687121753]","[75.02832343818396, 115.34290212436174]"
"[27.814291527566397, 107.74546034380916]","[80.0, 109.44999998573857]"
"[29.124470227606665, 102.91843397061348]","[74.91902451540807, 115.33813848027592]"
"[28.225031815876257, 106.8244066442126]","[80.0, 102.44999998573857]"
"[28.632614002261384, 105.90226426903791]","[80.0, 110.44999998573857]"
"[28.755230715853646, 103.85165633113748]","[75.02861030863365, 114.34197737819763]"
"[29.365455075086608, 102.99042265582865]","[80.0, 111.44999998573857]"
"[29.451855698713466, 101.97261395450381]","[75.04962137405063, 115.34381753221783]"
"[28.835803559340885, 104.91947083035896]","[74.94173491391716, 116.34008962634147]"
"[28.91661151629881, 104.94343950904295]","[74.9630355317935, 114.33910526066462]"
"[28.590944592360273, 104.84642946304238]","[74.93981557550192, 112.3360896322405]"
"[28.877913636488355, 103.8884937171826]","[80.0, 113.44999998573857]"
"[28.796226589321453, 103.86398332276234]","[75.0277672217779, 117.34470332820806]"
"[28.255143218608428, 103.69988661618753]","[80.0, 114.44999998573857]"
