"[35.92497655888586, 118.65409928385098]","[84.80839965834912, 131.34743880528637]"
"[34.43734971555549, 124.4692755304749]","[84.88008341714024, 121.34203295307553]"
"[30.090730768135625, 122.0928053614634]","[84.84671672877604, 129.3473854920657]"
"[35.1839094799603, 122.60237494232935]","[84.86505961233763, 127.3465150064558]"
"[34.7453315243426, 123.51724929679166]","[84.77744705294988, 125.34124419570044]"
"[35.665817437604325, 120.66012758032417]","[84.84306731087108, 126.34480043073623]"
"[35.98571646520642, 120.75069781035194]","[84.90310925382977, 123.34473723773199]"
"[35.139810811027544, 123.62916944075513]","[84.88293195775573, 124.34475509964523]"
"[35.29425531416991, 121.59405325991563]","[84.82053365618548, 125.34303183041786]"
"[35.3071938591813, 120.55750442158161]","[84.82614041400423, 129.34656282578024]"
"[35.03155800981123, 124.63751668306278]","[84.90386910256973, 124.3456145333647]"
"[35.372928430313785, 120.5764092663098]","[85.00619892116676, 122.34812886979205]"
"[36.067138892761605, 119.73455503793932]","[84.73363794975863, 125.33941099257595]"
"[34.20100571778493, 124.40150789977325]","[84.90386910256973, 124.3456145333647]"
"[35.32693870716849, 121.60337711635793]","[84.81907768874814, 124.3421107918382]"
"[23.598118661543275, 126.72901402574166]","[74.96265946237244, 127.5667703245143]"
"[35.77867202430325, 119.65242667025886]","[84.92404093505594, 123.34560162472026]"
"[22.9502576843208, 129.65845106821413]","[79.71967435711476, 123.0212071192781]"
"[35.019794094447825, 122.55564912366684]","[84.83792702585062, 122.34114409717802]"
"[35.10726396792065, 123.619979617043]","[84.94523177135274, 124.34730309053553]"
"[34.611927209787446, 123.47909460377332]","[84.83924410395153, 123.34208161125198]"
"[34.67875021141074, 123.49822609959847]","[84.92633567732143, 127.34897100914338]"
"[34.66185364090589, 121.41177383011856]","[84.92285238518093, 121.34383306887241]"
"[35.24121615429043, 120.53849777431654]","[84.88564784821035, 127.34734332954903]"
"[23.190217556059455, 128.6869771219415]","[79.461501574146, 124.00299431787126]"
"[23.726313862487647, 124.71245288384958]","[79.15688703623873, 133.00875761104624]"
"[35.12994850650875, 121.54703619934608]","[84.82197141220627, 126.34393180257045]"
"[34.37012864204501, 124.45004901583512]","[84.74418953163251, 130.34407753284853]"
"[35.63566216601341, 122.72976155041468]","[84.92404093505594, 123.34560162472026]"
"[23.358703998327226, 127.7005994443341]","[75.08116711471367, 125.56684213669443]"
"[36.350957813184834, 119.81462543466142]","[84.74818514106262, 132.34583843102374]"
"[23.304798870719658, 125.64540879026974]","[79.60765303859988, 124.0153276526584]"
"[23.633220291239326, 126.73632237347512]","[79.27933753128478, 129.00530966192014]"
"[34.39779945575781, 125.49775192205604]","[84.90461598558213, 125.34647832680093]"
"[23.49227548449698, 126.7069177385096]","[79.52778298720834, 126.01561478991017]"
"[35.29425531416991, 121.59405325991563]","[84.90534962001503, 126.34732699229144]"
"[34.29232966515558, 126.50717283717898]","[84.98551682490586, 119.34469931861175]"
"[36.26493069586304, 117.71128926294098]","[84.78276327776737, 128.34400145743524]"
"[34.477553030735386, 123.44050500537968]","[84.8629199090618, 125.3447780079809]"
"[34.703818662898286, 124.54510057043477]","[84.90310925382977, 123.34473723773199]"
"[34.302662891486996, 124.43072053178611]","[84.84181400538989, 125.34390934763184]"
"[34.67071830427034, 124.53571521179391]","[84.90386910256973, 124.3456145333647]"
"[35.31414172873211, 122.63928303010624]","[84.82337858712484, 127.34482882791792]"
"[35.16292973185366, 121.55649287234503]","[84.82197141220627, 126.34393180257045]"
"[34.26884164473285, 124.42100605687662]","[84.82053365618548, 125.34303183041786]"
"[34.470870818286606, 124.47884770438351]","[84.76526389912381, 130.34492617101924]"
"[35.019794094447825, 122.55564912366684]","[84.9661450776398, 126.34976376685712]"
"[34.5784265302127, 123.46948850155535]","[84.98551682490586, 119.34469931861175]"
"[34.128789576491336, 125.42112560780375]","[84.92345542454213, 122.34472279166022]"
"[34.78752203816251, 122.48911699526948]","[84.84181400538989, 125.34390934763184]"
"[34.604343781492354, 124.51686691277372]","[84.92345542454213, 122.34472279166022]"
"[23.129352266528276, 129.69568533120702]","[79.32216695016776, 125.99835845151951]"
"[36.22537685625804, 119.77928591529596]","[84.96541564298425, 123.34729719198388]"
"[35.39213074347793, 121.62194658187646]","[84.82477085293816, 128.3457031462358]"
"[35.074655602045276, 123.610771030865]","[84.94523177135274, 124.34730309053553]"
"[34.80275745712183, 124.5730975840595]","[84.92521137465373, 125.3473132348993]"
"[35.228711703061734, 121.5753259140628]","[84.84306731087108, 126.34480043073623]"
"[35.16292973185366, 121.55649287234503]","[84.92463399508513, 124.34646423569636]"
"[35.378908896261095, 122.6575801368915]","[84.73795942124418, 127.34132608553888]"
"[35.73026079588599, 120.67844615939522]","[84.74214136550285, 129.34317694710444]"
"[34.92060934053054, 122.527301388488]","[84.73795942124418, 127.34132608553888]"
"[34.953731002490066, 122.53677620859082]","[84.84306731087108, 126.34480043073623]"
"[23.235691943808085, 129.71767178008463]","[79.26712567759698, 132.01442409102313]"
"[34.953731002490066, 122.53677620859082]","[84.78102248489131, 127.34309864823683]"
"[35.085618129284384, 122.57441992078256]","[84.88564784821035, 127.34734332954903]"
"[36.117641644232975, 118.70925965782081]","[84.88385008865481, 125.34563218472775]"
"[34.92060934053054, 122.527301388488]","[84.74214136550285, 129.34317694710444]"
"[35.601144459753556, 120.64170474389756]","[84.82337858712484, 127.34482882791792]"
"[34.88742853429479, 122.51779392868082]","[84.82748534838723, 130.3474112868027]"
"[35.21655563712005, 122.61164100604714]","[84.92521137465373, 125.3473132348993]"
"[34.86842173040059, 124.59163177949789]","[84.94439692221961, 122.3455897157031]"
"[34.128789576491336, 125.42112560780375]","[84.86505961233763, 127.3465150064558]"
"[22.687427702186227, 131.64659511818445]","[79.61351323760722, 126.0227098463489]"
"[36.035309555850226, 119.72552903640211]","[85.02646544042197, 122.34895359757581]"
"[30.394094768646614, 122.19154939854256]","[84.84053913324472, 124.34300327468691]"
"[35.04198950493287, 123.6015377919646]","[84.80385114896889, 128.34485799152807]"
"[35.32693870716849, 121.60337711635793]","[84.80228397905415, 127.34396821786346]"
"[35.55770950895109, 123.74623694350963]","[84.7974358717456, 124.34120711646521]"
"[22.300651546043966, 132.5875129691539]","[74.6412192370146, 130.54964760210706]"
"[34.44380581194131, 123.43078852123253]","[84.86505961233763, 127.3465150064558]"
"[34.06092462446421, 125.40169610901197]","[84.84306731087108, 126.34480043073623]"
"[34.78752203816251, 122.48911699526948]","[84.88824034186946, 130.34980779772127]"
"[34.67875021141074, 123.49822609959847]","[84.80539099504155, 129.34573257351465]"
"[35.29425531416991, 121.59405325991563]","[84.84181400538989, 125.34390934763184]"
"[35.16292973185366, 121.55649287234503]","[84.88652804634555, 128.3481786061805]"
"[35.06380753837047, 121.52804215825807]","[84.84053913324472, 124.34300327468691]"
"[35.68259604950175, 121.70422084359373]","[84.76710229715985, 131.34580044113375]"
