"[18.474118363064047, 109.35144681163713]","[68.34223069567649, 115.43588498721]"
"[38.59440289200613, 107.76956448631134]"
"[17.142016050083846, 115.20423156450877]","[68.39790981263263, 113.41098860494976]"
"[23.985299713953232, 106.31339621700477]","[73.08421829292344, 119.25627375607043]"
"[17.9108953661364, 113.31713884251884]","[68.4770313363622, 113.42603000074392]"
"[22.72713234191546, 112.1824103794428]","[73.30206043070962, 118.27713763498262]"
"[17.165402559469346, 116.22815350262633]","[68.11817981455981, 116.41129180328035]"
"[18.252712849132266, 111.34611711913603]","[68.4770313363622, 113.42603000074392]"
"[17.249791444984893, 114.20608789712367]","[68.56548592875028, 114.46031758384714]"
"[17.962561228524443, 111.28905509787474]","[67.66762580580296, 118.36159570509379]"
"[18.280974032771695, 110.33261694489843]","[68.01327856267889, 117.40905680304746]"
"[18.142863620711935, 109.28571754027135]","[67.3792444665785, 120.34244460227013]"
"[17.8029321147881, 114.31488388168542]","[68.26344963235486, 115.42107639283606]"
"[14.986089453793124, 101.34389491811642]","[63.159173545751145, 114.34191065405025]"
"[43.33933338428174, 107.36339238909939]"
"[38.736698113216285, 105.67990544108874]"
"[17.445155990894182, 113.22535334180044]","[67.83657405131952, 116.35800463708613]"
"[17.48594943543359, 115.27193946161472]","[68.15783014007026, 116.41873570190991]"
"[17.531264725224435, 113.24247332646111]","[67.68552481267507, 119.38243881360435]"
"[17.894694650677533, 112.29496063529912]","[67.72575313332884, 119.3899510895552]"
"[18.171080224602978, 108.27142158336474]","[68.65444021209262, 111.42382860032988]"
"[18.14326354435785, 112.34360494761404]","[68.08999109946627, 114.37024972639132]"
"[17.379815548080252, 114.23191209141523]","[67.50369021436761, 118.3305477287351]"
"[42.12908291733269, 110.52862883629072]"
"[16.903309593491624, 116.17635472936836]","[68.22384842348303, 115.41361151416072]"
"[17.48828313131308, 113.23393856002244]","[68.2906049522857, 114.40849908472038]"
"[18.004472679777038, 111.29734622967574]","[67.39987218030181, 119.32868720397714]"
