"[24.94239137981053, 101.39978990409271]","[64.72687605802618, 122.33640774990343]"
"[24.541651484566152, 103.36089612240612]","[64.73142489896338, 124.33842774404674]"
"[14.94663343190044, 104.37000888755666]","[48.347652357160825, 123.9032900943281]"
"[32.423496563700766, 114.16671563204329]"
"[24.34221501584581, 104.34165316606342]","[64.83243759978731, 118.3372249739031]"
"[14.768011764150321, 105.35458735293055]","[52.9006876556877, 122.26003443500144]"
"[24.34221501584581, 104.34165316606342]","[64.75155742958057, 123.33838149803414]"
"[24.65576380391688, 104.41825774902384]","[64.70658868681184, 123.33645972892978]"
"[14.518372696273051, 107.33928236970178]","[52.798247590756766, 127.29297626021825]"
"[25.01297087863278, 102.44681948743188]","[64.7291697609379, 123.3374267958291]"
"[24.924076142876565, 104.4830153173839]","[64.7957709740653, 123.34025451383825]"
"[15.165323997341233, 101.37028603046664]","[53.13212261886179, 122.29217967923704]"
"[24.886084086166154, 104.47389023555971]","[64.73363794975863, 125.33941099257595]"
"[14.804276139703735, 106.37007321780686]","[52.843098195875434, 121.24208503443326]"
"[24.49992616228593, 104.38030576443029]","[64.80981438877136, 118.33623482376409]"
"[24.30249176011152, 104.33187700240407]","[64.83100382685888, 117.33620115510911]"
"[24.341484067981977, 105.37097766034236]","[64.73142489896338, 124.33842774404674]"
"[25.325670053316557, 101.49374336198366]","[64.83100382685888, 117.33620115510911]"
"[24.663152457739763, 102.36086537413361]","[64.70904301171113, 124.3374779756836]"
"[25.52444893576327, 100.51293399374238]","[64.75563614120438, 125.34033328290178]"
"[24.929944265326107, 103.45576255832415]","[64.75361635452725, 124.3393647940774]"
"[14.804276139703735, 106.37007321780686]","[52.80150461561795, 123.25589117385067]"
"[24.780808280692398, 102.3899158461946]","[64.73142489896338, 124.33842774404674]"
"[25.316142159638648, 102.52028925770985]","[64.76599620924948, 119.33527435058852]"
"[14.87540408184673, 104.35971013160226]","[48.217410247153964, 124.89544699500848]"
"[23.82417791142853, 106.27384141447908]","[64.75982053158397, 116.33203778117642]"
"[14.983308515661044, 103.36489480280942]","[53.23960081674566, 119.2782110603866]"
"[14.395652140937608, 104.28905466211161]","[52.70275526893015, 124.2517920476909]"
"[14.399892606925881, 105.30070832343742]","[53.03919923446695, 121.2696738239241]"
"[24.929944265326107, 103.45576255832415]","[64.76994398702534, 121.33733563932059]"
"[14.875725953308304, 103.34920827385758]","[53.13212261886179, 122.29217967923704]"
"[14.94761616431404, 103.35970319785662]","[52.644713115199316, 127.27213563394261]"
"[14.657659265041286, 104.32792080784958]","[52.83834949645366, 125.28000739212956]"
"[14.769475218176781, 107.37520057414491]","[53.13212261886179, 122.29217967923704]"
"[24.97456545306401, 102.43744553855645]","[64.80981438877136, 118.33623482376409]"
"[14.445117926254998, 107.32869197137254]","[53.10978828653195, 123.29851223680089]"
"[30.874595495969647, 119.19272305314003]"
"[24.421307512860835, 104.36107036448637]","[64.85238124005205, 116.33617071756215]"
"[24.776010800598605, 103.41833914299897]","[64.83384092296308, 119.33823073612764]"
"[15.293043392621668, 104.41938637742933]","[52.78116600935931, 124.26268247555774]"
"[25.04420007220298, 103.4833829427993]","[64.81456221651909, 121.33925056181586]"
"[25.08943912467784, 102.46544016495038]","[64.76397155418672, 118.33421525747299]"
"[25.22076527773666, 100.43849863797857]","[64.72454929302792, 121.33537044534529]"
"[24.929944265326107, 103.45576255832415]","[64.83243759978731, 118.3372249739031]"
"[25.173731594072784, 101.45668538534878]","[64.76994398702534, 121.33733563932059]"
"[35.86309677748537, 121.75497664719833]"
"[14.549231183992426, 105.32272482697923]","[52.80150461561795, 123.25589117385067]"
"[14.94761616431404, 103.35970319785662]","[48.33870427271172, 120.88886086947136]"
"[14.875725953308304, 103.34920827385758]","[48.16728975835423, 121.87694396736147]"
"[24.89741078649306, 102.41856301560027]","[64.72454929302792, 121.33537044534529]"
"[14.768011764150321, 105.35458735293055]","[53.03919923446695, 121.2696738239241]"
"[24.968142185588874, 103.46501098376767]","[64.79059158199838, 120.33729498317258]"
"[24.623697311116473, 102.35109067440798]","[64.7869943322749, 118.33523137352982]"
"[25.058581196138768, 101.42843840083441]","[64.85238124005205, 116.33617071756215]"
"[25.945402886349648, 99.58603452761555]","[64.70658868681184, 123.33645972892978]"
"[25.449205302634446, 100.49458185113086]","[64.69897397561476, 120.33329391067983]"
"[24.34309863061451, 103.31178820525385]","[64.74947231532151, 122.33737963668699]"
"[14.661126261334722, 106.34952504085267]","[52.83834949645366, 125.28000739212956]"
"[15.017201558019588, 104.38016224797327]","[52.95297182058626, 125.29565492578169]"
"[24.825144511009164, 101.37075096469778]","[64.72454929302792, 121.33537044534529]"
"[24.308205627248206, 123.3916459317881]"
"[24.968142185588874, 103.46501098376767]","[64.70658868681184, 123.33645972892978]"
"[24.929944265326107, 103.45576255832415]","[64.6963441099649, 119.3321987486751]"
"[14.730925968996702, 104.3386705203904]","[52.74205830445645, 124.25725716630339]"
"[14.803879590231947, 105.35976687890248]","[52.8406373442521, 123.26134338692798]"
"[14.98199918887597, 104.3751029526213]","[52.56487283147206, 125.24224070767646]"
"[24.302099673222386, 105.36138430146707]","[64.7957709740653, 123.34025451383825]"
"[24.85865994697083, 102.4090601032527]","[64.70409062734093, 122.33542348611918]"
"[24.961956501748446, 104.49209960058295]","[64.81142039402287, 119.33725829828239]"
"[24.541651484566152, 103.36089612240612]","[64.83243759978731, 118.3372249739031]"
"[14.478393564359212, 106.32300939025366]","[53.0337546746694, 123.28807496313874]"
"[14.767301702380768, 104.34398605471269]","[52.93583306247413, 124.2840156155771]"
"[14.984671073557116, 102.35449377963508]","[53.0337546746694, 123.28807496313874]"
"[24.6593582694163, 103.38981752977695]","[64.76798199787248, 120.33631404265044]"
"[26.000157421205728, 118.67566390959496]"
"[25.135462770560387, 101.44731313448314]","[64.75361635452725, 124.3393647940774]"
"[24.53905928358645, 104.38986064224392]","[64.74947231532151, 122.33737963668699]"
"[24.780808280692398, 102.3899158461946]","[64.71145755837725, 125.33847702197]"
"[24.694434018189682, 104.42763439326397]","[64.73142489896338, 124.33842774404674]"
"[24.85865994697083, 102.4090601032527]","[64.75155742958057, 123.33838149803414]"
"[15.017201558019588, 104.38016224797327]","[52.99548583073042, 123.28280102629415]"
"[14.911755579461257, 103.35447523971004]","[52.762174228542456, 123.25039496766688]"
"[14.767301702380768, 104.34398605471269]","[52.974069140584, 124.28926054461651]"
"[14.44133108576695, 106.31759197211333]","[52.939700849447, 122.26548447120636]"
"[14.620761959552187, 104.32248816560343]","[52.76109482278676, 125.26940028966366]"
"[24.732990954525032, 104.43697024472422]","[64.70155428591127, 121.33436847394559]"
"[24.182606166609396, 104.30227544525751]","[64.87286604904291, 114.33509958403911]"
"[14.549231183992426, 105.32272482697923]","[52.79980958239706, 125.27472172852782]"
"[25.573918236779964, 99.49557269492436]","[64.73847211555614, 117.33208793164336]"
"[25.573918236779964, 99.49557269492436]","[64.87606378496031, 117.33817703643162]"
"[25.77494678994303, 98.51522369319532]","[64.80981438877136, 118.33623482376409]"
"[23.591230214949277, 108.2759410185943]","[64.71976170765119, 119.33323742333798]"
"[25.400966022474687, 101.51201247888558]","[64.76798199787248, 120.33631404265044]"
"[14.87540408184673, 104.35971013160226]","[52.82007738204865, 124.26806807890856]"
"[14.730925968996702, 104.3386705203904]","[52.74205830445645, 124.25725716630339]"
"[24.61697723669605, 104.40883418904136]","[64.74947231532151, 122.33737963668699]"
"[24.541651484566152, 103.36089612240612]","[64.74947231532151, 122.33737963668699]"
"[24.5444277262245, 102.3314029446492]","[64.76397155418672, 118.33421525747299]"
"[14.910488907087625, 105.37508863822997]","[53.03919923446695, 121.2696738239241]"
"[25.019966540670833, 101.41893525720438]","[64.72454929302792, 121.33537044534529]"
"[24.6593582694163, 103.38981752977695]","[64.73142489896338, 124.33842774404674]"
"[14.911755579461257, 103.35447523971004]","[53.00034282487716, 121.26423668561773]"
"[24.968142185588874, 103.46501098376767]","[64.74734062367824, 121.33635922221009]"
"[24.732990954525032, 104.43697024472422]","[64.8739506401928, 115.33614393716827]"
"[24.698359501144235, 103.39936858122843]","[64.82954977701927, 116.33515662003927]"
"[24.623697311116473, 102.35109067440798]","[64.76798199787248, 120.33631404265044]"
"[14.770226908026734, 108.385222736979]","[52.78116600935931, 124.26268247555774]"
"[24.422879034690073, 103.33157011018852]","[64.72454929302792, 121.33537044534529]"
"[24.182606166609396, 104.30227544525751]","[64.72687605802618, 122.33640774990343]"
"[25.173731594072784, 101.45668538534878]","[64.74298450367405, 119.33426284176673]"
"[24.702488264405883, 102.37059316147715]","[64.7291697609379, 123.3374267958291]"
"[25.200302021017038, 98.3721370850387]","[64.83384092296308, 119.33823073612764]"
"[24.6593582694163, 103.38981752977695]","[64.87606378496031, 117.33817703643162]"
"[24.94239137981053, 101.39978990409271]","[64.76397155418672, 118.33421525747299]"
"[14.59094855286666, 107.34972549201396]","[48.85429945022538, 115.9153823554567]"
