"[10, 63]","[20, 51]","[30, 53]","[40, 91]","[50, 96]","[60, 63]","[70, 46]","[80, 59]","[90, 114]"
"[10, 66]","[20, 49]","[30, 51]","[40, 91]","[50, 100]","[60, 62]","[70, 46]","[80, 60]","[90, 116]"
"[10, 66]","[20, 47]","[30, 53]","[40, 92]","[50, 100]","[60, 60]","[70, 48]","[80, 57]","[90, 112]"
"[10, 65]","[20, 51]","[30, 52]","[40, 90]","[50, 98]","[60, 65]","[70, 45]","[80, 61]","[90, 112]"
"[10, 67]","[20, 49]","[30, 52]","[40, 95]","[50, 100]","[60, 59]","[70, 45]","[80, 59]","[90, 105]"
"[10, 67]","[20, 50]","[30, 52]","[40, 90]","[50, 100]","[60, 60]","[70, 47]","[80, 64]","[90, 109]"
"[10, 66]","[20, 50]","[30, 53]","[40, 87]","[50, 99]","[60, 62]","[70, 47]","[80, 58]","[90, 115]"
"[10, 66]","[20, 52]","[30, 55]","[40, 94]","[50, 94]","[60, 62]","[70, 45]","[80, 62]","[90, 114]"
"[10, 64]","[20, 49]","[30, 54]","[40, 90]","[50, 96]","[60, 64]","[70, 46]","[80, 60]","[90, 112]"
"[10, 65]","[20, 49]","[30, 52]","[40, 88]","[50, 103]","[60, 62]","[70, 46]","[80, 61]","[90, 114]"
"[10, 66]","[20, 52]","[30, 53]","[40, 90]","[50, 94]","[60, 63]","[70, 47]","[80, 60]","[90, 110]"
"[10, 65]","[20, 53]","[30, 52]","[40, 89]","[50, 94]","[60, 63]","[70, 46]","[80, 60]","[90, 109]"
"[10, 70]","[20, 54]","[30, 53]","[40, 94]","[50, 103]","[60, 63]","[70, 45]","[80, 63]","[90, 117]"
"[10, 65]","[20, 51]","[30, 55]","[40, 98]","[50, 98]","[60, 63]","[70, 46]","[80, 60]","[90, 112]"
"[10, 65]","[20, 52]","[30, 55]","[40, 92]","[50, 99]","[60, 62]","[70, 46]","[80, 62]","[90, 112]"
"[10, 65]","[20, 53]","[30, 53]","[40, 91]","[50, 96]","[60, 61]","[70, 47]","[80, 62]","[90, 117]"
"[10, 65]","[20, 52]","[30, 54]","[40, 86]","[50, 96]","[60, 63]","[70, 46]","[80, 63]","[90, 115]"
"[10, 65]","[20, 51]","[30, 52]","[40, 91]","[50, 99]","[60, 63]","[70, 44]","[80, 59]","[90, 116]"
"[10, 67]","[20, 50]","[30, 54]","[40, 91]","[50, 99]","[60, 62]","[70, 48]","[80, 62]","[90, 112]"
"[10, 68]","[20, 49]","[30, 52]","[40, 88]","[50, 99]","[60, 63]","[70, 47]","[80, 61]","[90, 113]"
"[10, 66]","[20, 49]","[30, 54]","[40, 99]","[50, 99]","[60, 64]","[70, 48]","[80, 61]","[90, 113]"
"[0, 107]","[10, 66]","[20, 53]","[30, 54]","[40, 95]","[50, 98]","[60, 65]","[70, 49]","[80, 60]","[90, 115]"
"[10, 65]","[20, 49]","[30, 53]","[40, 91]","[50, 96]","[60, 60]","[70, 46]","[80, 61]","[90, 119]"
"[10, 64]","[20, 51]","[30, 56]","[40, 90]","[50, 97]","[60, 62]","[70, 45]","[80, 63]","[90, 114]"
"[10, 66]","[20, 49]","[30, 53]","[40, 92]","[50, 98]","[60, 63]","[70, 48]","[80, 63]","[90, 108]"
"[10, 64]","[20, 52]","[30, 53]","[40, 93]","[50, 93]","[60, 64]","[70, 47]","[80, 61]","[90, 114]"
"[10, 70]","[20, 49]","[30, 54]","[40, 89]","[50, 99]","[60, 60]","[70, 48]","[80, 62]","[90, 114]"
"[10, 66]","[20, 50]","[30, 54]","[40, 89]","[50, 96]","[60, 62]","[70, 44]","[80, 62]","[90, 113]"
"[10, 65]","[20, 51]","[30, 53]","[40, 84]","[50, 101]","[60, 64]","[70, 46]","[80, 62]","[90, 109]"
"[10, 68]","[20, 48]","[30, 52]","[50, 102]","[60, 64]","[70, 46]","[80, 63]","[90, 113]"
"[10, 65]","[20, 50]","[30, 54]","[40, 90]","[50, 94]","[60, 61]","[70, 47]","[80, 61]","[90, 113]"
"[10, 68]","[20, 48]","[30, 56]","[40, 86]","[50, 97]","[60, 61]","[70, 46]","[80, 59]","[90, 110]"
"[10, 64]","[20, 50]","[30, 53]","[40, 88]","[50, 95]","[60, 63]","[70, 44]","[80, 60]","[90, 111]"
"[10, 66]","[20, 51]","[30, 53]","[40, 95]","[50, 99]","[60, 61]","[70, 45]","[80, 60]","[90, 111]"
"[10, 64]","[20, 49]","[30, 52]","[40, 90]","[50, 91]","[60, 63]","[70, 48]","[80, 62]","[90, 117]"
"[10, 68]","[20, 49]","[30, 53]","[40, 90]","[50, 97]","[60, 64]","[70, 49]","[80, 64]","[90, 113]"
"[10, 66]","[20, 49]","[30, 53]","[40, 87]","[50, 95]","[60, 61]","[70, 47]","[80, 61]","[90, 113]"
"[10, 66]","[20, 49]","[30, 52]","[40, 95]","[50, 102]","[60, 62]","[70, 46]","[80, 61]","[90, 112]"
"[10, 67]","[20, 51]","[30, 51]","[40, 89]","[50, 102]","[60, 63]","[70, 47]","[80, 61]","[90, 115]"
"[10, 66]","[20, 48]","[30, 55]","[40, 92]","[50, 95]","[60, 61]","[70, 45]","[80, 63]","[90, 112]"
