"[0, 105]","[10, 82]","[20, 73]","[30, 74]","[40, 95]","[50, 82]","[60, 74]","[70, 83]"
"[0, 103]","[10, 83]","[20, 74]","[30, 73]","[40, 94]","[50, 80]","[60, 71]","[70, 82]"
"[0, 100]","[10, 81]","[20, 71]","[30, 73]","[40, 94]","[50, 81]","[60, 70]","[70, 80]"
"[0, 96]","[10, 87]","[20, 73]","[30, 76]","[40, 92]","[50, 83]","[60, 70]","[70, 81]"
"[0, 96]","[10, 81]","[20, 71]","[30, 72]","[40, 91]","[50, 83]","[60, 72]","[70, 81]"
"[0, 102]","[10, 84]","[20, 73]","[30, 75]","[40, 94]","[50, 83]","[60, 70]","[70, 81]"
"[0, 106]","[10, 82]","[20, 72]","[30, 75]","[40, 92]","[50, 83]","[60, 69]","[70, 80]"
"[0, 101]","[10, 85]","[20, 73]","[30, 76]","[40, 92]","[50, 81]","[60, 70]","[70, 82]"
"[0, 100]","[10, 84]","[20, 74]","[30, 76]","[40, 94]","[50, 80]","[60, 71]","[70, 81]"
"[0, 101]","[10, 84]","[20, 74]","[30, 73]","[40, 94]","[50, 84]","[60, 74]","[70, 80]"
"[0, 102]","[10, 87]","[20, 71]","[30, 72]","[40, 92]","[50, 81]","[60, 71]","[70, 82]"
"[0, 103]","[10, 84]","[20, 73]","[30, 75]","[40, 95]","[50, 81]","[60, 74]","[70, 80]"
"[10, 84]","[20, 73]","[30, 72]","[40, 95]","[50, 84]","[60, 74]","[70, 80]"
"[0, 104]","[10, 87]","[20, 75]","[30, 78]","[40, 95]","[50, 81]","[60, 72]","[70, 82]"
"[0, 102]","[10, 84]","[20, 75]","[30, 76]","[40, 93]","[50, 83]","[60, 72]","[70, 83]"
"[0, 99]","[10, 84]","[20, 72]","[30, 76]","[40, 91]","[50, 81]","[60, 74]","[70, 80]"
"[0, 106]","[10, 84]","[20, 74]","[30, 75]","[40, 93]","[50, 83]","[60, 73]","[70, 80]"
"[0, 103]","[10, 84]","[20, 71]","[30, 77]","[40, 95]","[50, 78]","[60, 70]","[70, 77]"
"[0, 104]","[10, 83]","[20, 72]","[30, 76]","[40, 91]","[50, 81]","[60, 71]","[70, 81]"
"[0, 104]","[10, 82]","[20, 72]","[30, 72]","[40, 91]","[50, 83]","[60, 70]","[70, 79]"
"[0, 106]","[10, 84]","[20, 71]","[30, 75]","[40, 92]","[50, 83]","[60, 72]","[70, 82]","[90, 115]"
"[0, 106]","[10, 84]","[20, 72]","[30, 74]","[40, 90]","[50, 80]","[60, 70]","[70, 81]"
"[0, 100]","[10, 83]","[20, 73]","[30, 76]","[40, 91]","[50, 83]","[60, 70]","[70, 79]"
"[0, 105]","[10, 86]","[20, 72]","[30, 72]","[40, 93]","[50, 83]","[60, 69]","[70, 79]"
"[0, 105]","[10, 81]","[20, 72]","[30, 73]","[40, 95]","[50, 81]","[60, 71]","[70, 80]"
"[0, 103]","[10, 84]","[20, 73]","[30, 75]","[40, 94]","[50, 81]","[60, 71]","[70, 82]"
"[0, 104]","[10, 85]","[20, 73]","[30, 76]","[40, 89]","[50, 80]","[60, 70]","[70, 82]"
"[0, 107]","[10, 85]","[20, 71]","[30, 74]","[40, 93]","[50, 82]","[60, 73]","[70, 82]"
"[0, 103]","[10, 86]","[20, 73]","[30, 71]","[40, 90]","[50, 86]","[60, 73]","[70, 80]"
"[0, 107]","[10, 81]","[20, 73]","[30, 73]","[40, 88]","[50, 81]","[60, 72]","[70, 84]","[90, 120]"
"[0, 105]","[10, 86]","[20, 74]","[30, 76]","[40, 93]","[50, 80]","[60, 73]","[70, 81]"
"[0, 107]","[10, 85]","[20, 74]","[30, 73]","[40, 89]","[50, 81]","[60, 71]","[70, 84]"
"[0, 103]","[10, 86]","[20, 71]","[30, 77]","[40, 92]","[50, 85]","[60, 70]","[70, 79]"
"[0, 101]","[10, 85]","[20, 74]","[30, 72]","[40, 90]","[50, 85]","[60, 70]","[70, 81]"
"[0, 108]","[10, 84]","[20, 75]","[30, 71]","[40, 94]","[50, 80]","[60, 74]","[70, 82]","[80, 132]"
"[0, 100]","[10, 84]","[20, 72]","[30, 75]","[40, 94]","[50, 82]","[60, 71]","[70, 83]","[80, 125]"
"[0, 102]","[10, 82]","[20, 74]","[30, 74]","[40, 94]","[50, 84]","[60, 73]","[70, 83]"
"[0, 107]","[10, 83]","[20, 73]","[30, 74]","[40, 94]","[50, 83]","[60, 69]","[70, 83]"
"[0, 106]","[10, 83]","[20, 71]","[30, 74]","[40, 91]","[50, 80]","[60, 72]","[70, 85]"
"[0, 98]","[10, 86]","[20, 74]","[30, 73]","[40, 91]","[50, 82]","[60, 73]","[70, 82]"
"[0, 97]","[10, 86]","[20, 71]","[30, 78]","[40, 91]","[50, 82]","[60, 73]","[70, 81]"
"[0, 103]","[10, 85]","[20, 72]","[30, 75]","[40, 95]","[50, 84]","[60, 72]","[70, 80]"
"[0, 99]","[10, 84]","[20, 70]","[30, 75]","[40, 90]","[50, 81]","[60, 69]","[70, 80]"
"[0, 106]","[10, 82]","[20, 72]","[30, 74]","[40, 89]","[50, 83]","[60, 71]","[70, 80]"
"[0, 103]","[10, 83]","[20, 71]","[30, 73]","[40, 93]","[50, 81]","[60, 75]","[70, 81]"
"[0, 102]","[10, 82]","[20, 75]","[30, 76]","[40, 93]","[50, 81]","[60, 70]","[70, 80]"
"[0, 102]","[10, 85]","[20, 73]","[30, 72]","[40, 91]","[50, 83]","[60, 72]","[70, 81]"
"[0, 103]","[10, 84]","[20, 70]","[30, 73]","[40, 93]","[50, 83]","[60, 72]","[70, 81]"
"[0, 104]","[10, 82]","[20, 72]","[30, 74]","[40, 94]","[50, 82]","[60, 73]","[70, 77]"
"[0, 101]","[10, 85]","[20, 74]","[30, 77]","[40, 93]","[50, 80]","[60, 71]","[70, 80]"
"[0, 103]","[10, 87]","[20, 73]","[30, 74]","[40, 91]","[50, 83]","[60, 71]","[70, 81]"
"[0, 103]","[10, 83]","[20, 72]","[30, 75]","[40, 91]","[50, 84]","[60, 72]","[70, 81]"
"[0, 104]","[10, 83]","[20, 75]","[30, 73]","[40, 92]","[50, 81]","[60, 73]","[70, 81]"
"[0, 104]","[10, 87]","[20, 73]","[30, 74]","[40, 91]","[50, 83]","[60, 72]","[70, 82]"
"[0, 106]","[10, 82]","[20, 73]","[30, 73]","[40, 93]","[50, 83]","[60, 71]","[70, 82]"
"[0, 98]","[10, 83]","[20, 69]","[30, 75]","[40, 91]","[50, 83]","[60, 71]","[70, 80]"
"[0, 103]","[10, 85]","[20, 73]","[30, 73]","[40, 95]","[50, 82]","[60, 71]","[70, 82]"
"[0, 98]","[10, 84]","[20, 70]","[30, 74]","[40, 91]","[50, 83]","[60, 70]","[70, 80]"
"[0, 101]","[10, 85]","[20, 73]","[30, 74]","[40, 90]","[50, 83]","[60, 71]","[70, 79]"
"[0, 106]","[10, 84]","[20, 71]","[30, 73]","[40, 92]","[50, 85]","[60, 71]","[70, 82]"
"[0, 100]","[10, 83]","[20, 72]","[30, 75]","[40, 92]","[50, 83]","[60, 72]","[70, 81]"
"[0, 102]","[10, 85]","[20, 75]","[30, 74]","[40, 93]","[50, 84]","[60, 70]","[70, 79]"
"[0, 102]","[10, 83]","[20, 71]","[30, 72]","[40, 91]","[50, 82]","[60, 72]","[70, 80]"
"[0, 108]","[10, 83]","[20, 74]","[30, 74]","[40, 91]","[50, 81]","[60, 73]","[70, 79]"
"[0, 100]","[10, 86]","[20, 73]","[30, 72]","[40, 88]","[50, 82]","[60, 72]","[70, 81]"
"[0, 103]","[10, 84]","[20, 72]","[30, 73]","[40, 93]","[50, 81]","[60, 70]","[70, 83]"
"[0, 104]","[10, 85]","[20, 73]","[30, 75]","[40, 92]","[50, 82]","[60, 69]","[70, 81]"
"[0, 106]","[10, 86]","[20, 71]","[30, 74]","[40, 90]","[50, 81]","[60, 71]","[70, 83]"
"[0, 107]","[10, 83]","[20, 72]","[30, 73]","[40, 90]","[50, 82]","[60, 70]","[70, 82]"
"[0, 104]","[10, 83]","[20, 74]","[30, 73]","[40, 92]","[50, 80]","[60, 71]","[70, 80]"
"[0, 103]","[10, 85]","[20, 73]","[30, 74]","[40, 90]","[50, 80]","[60, 73]","[70, 82]"
"[0, 102]","[10, 84]","[20, 74]","[30, 75]","[40, 94]","[50, 84]","[60, 72]","[70, 79]"
"[0, 102]","[10, 86]","[20, 73]","[30, 74]","[40, 93]","[50, 79]","[60, 70]","[70, 80]"
"[0, 103]","[10, 85]","[20, 70]","[30, 73]","[40, 93]","[50, 83]","[60, 72]","[70, 81]"
"[0, 99]","[10, 83]","[20, 73]","[30, 76]","[40, 93]","[50, 82]","[60, 71]","[70, 81]"
"[0, 100]","[10, 81]","[20, 71]","[30, 74]","[40, 91]","[50, 82]","[60, 70]","[70, 79]"
"[0, 100]","[10, 84]","[20, 74]","[30, 74]","[40, 90]","[50, 83]","[60, 72]","[70, 81]"
"[0, 105]","[10, 84]","[20, 71]","[30, 73]","[40, 93]","[50, 83]","[60, 74]","[70, 82]","[80, 126]"
"[0, 106]","[10, 82]","[20, 72]","[30, 69]","[40, 94]","[50, 80]","[60, 72]","[70, 80]"
"[0, 107]","[10, 86]","[20, 72]","[30, 73]","[40, 91]","[50, 80]","[60, 71]","[70, 81]"
"[0, 105]","[10, 84]","[20, 74]","[30, 76]","[40, 94]","[50, 82]","[60, 71]","[70, 81]"
"[0, 101]","[10, 81]","[20, 72]","[30, 74]","[40, 91]","[50, 80]","[60, 69]","[70, 81]"
"[0, 109]","[10, 82]","[20, 71]","[30, 72]","[40, 88]","[50, 79]","[60, 72]","[70, 81]"
"[0, 105]","[10, 82]","[20, 74]","[30, 73]","[40, 91]","[50, 84]","[60, 72]","[70, 79]"
"[0, 106]","[10, 85]","[20, 75]","[30, 77]","[40, 92]","[50, 79]","[60, 72]","[70, 80]"
"[0, 102]","[10, 85]","[20, 73]","[30, 74]","[40, 93]","[50, 81]","[60, 69]","[70, 80]"
"[0, 105]","[10, 84]","[20, 73]","[30, 74]","[40, 96]","[50, 80]","[60, 72]","[70, 81]","[90, 121]"
"[0, 107]","[10, 84]","[20, 72]","[30, 72]","[40, 93]","[50, 82]","[60, 72]","[70, 81]"
"[0, 105]","[10, 84]","[20, 75]","[30, 76]","[40, 92]","[50, 84]","[60, 73]","[70, 82]"
"[0, 105]","[10, 83]","[20, 73]","[30, 75]","[40, 91]","[50, 81]","[60, 72]","[70, 80]"
"[0, 100]","[10, 85]","[20, 76]","[30, 74]","[40, 91]","[50, 83]","[60, 72]","[70, 82]"
"[0, 104]","[10, 85]","[20, 74]","[30, 74]","[40, 92]","[50, 82]","[60, 70]","[70, 82]"
"[0, 106]","[10, 86]","[20, 75]","[30, 76]","[40, 89]","[50, 84]","[60, 70]","[70, 81]"
"[0, 101]","[10, 84]","[20, 73]","[30, 72]","[40, 92]","[50, 82]","[60, 70]","[70, 81]"
"[0, 100]","[10, 82]","[20, 75]","[30, 74]","[40, 91]","[50, 82]","[60, 72]","[70, 80]"
"[0, 100]","[10, 82]","[20, 73]","[30, 74]","[40, 94]","[50, 86]","[60, 70]","[70, 82]"
"[0, 102]","[10, 87]","[20, 72]","[30, 71]","[40, 93]","[50, 83]","[60, 73]","[70, 81]"
"[0, 107]","[10, 85]","[20, 73]","[30, 78]","[40, 93]","[50, 81]","[60, 72]","[70, 80]"
"[0, 105]","[10, 82]","[20, 71]","[30, 74]","[40, 92]","[50, 82]","[60, 71]","[70, 82]"
"[0, 107]","[10, 82]","[20, 73]","[30, 73]","[40, 92]","[50, 81]","[60, 73]","[70, 80]"
"[0, 103]","[10, 85]","[20, 73]","[30, 77]","[40, 98]","[50, 80]","[60, 72]","[70, 82]","[80, 121]"
"[0, 101]","[10, 84]","[20, 74]","[30, 74]","[40, 95]","[50, 84]","[60, 74]","[70, 82]"
"[0, 104]","[10, 84]","[20, 71]","[30, 73]","[40, 93]","[50, 81]","[60, 71]","[70, 80]"
"[0, 101]","[10, 81]","[20, 70]","[30, 74]","[40, 94]","[50, 82]","[60, 72]","[70, 80]"
"[0, 100]","[10, 87]","[20, 73]","[30, 72]","[40, 92]","[50, 81]","[60, 72]","[70, 81]"
"[0, 104]","[10, 87]","[20, 72]","[30, 73]","[40, 92]","[50, 82]","[60, 70]","[70, 82]"
"[0, 101]","[10, 86]","[20, 71]","[30, 73]","[40, 94]","[50, 77]","[60, 72]","[70, 83]"
"[0, 107]","[10, 84]","[20, 73]","[30, 70]","[40, 90]","[50, 79]","[60, 70]","[70, 82]"
"[0, 104]","[10, 83]","[20, 74]","[30, 72]","[40, 90]","[50, 80]","[60, 72]","[70, 80]","[80, 126]"
"[0, 101]","[10, 85]","[20, 73]","[30, 75]","[40, 91]","[50, 80]","[60, 71]","[70, 81]"
"[0, 98]","[10, 81]","[20, 71]","[30, 75]","[40, 91]","[50, 79]","[60, 71]","[70, 79]"
"[0, 103]","[10, 83]","[20, 75]","[30, 75]","[40, 89]","[50, 79]","[60, 71]","[70, 78]"
"[0, 105]","[10, 84]","[20, 73]","[30, 73]","[40, 93]","[50, 80]","[60, 74]","[70, 78]"
"[0, 103]","[10, 83]","[20, 72]","[30, 77]","[40, 93]","[50, 79]","[60, 71]","[70, 80]"
"[0, 104]","[10, 84]","[20, 72]","[30, 74]","[40, 91]","[50, 82]","[60, 72]","[70, 80]"
"[0, 104]","[10, 84]","[20, 74]","[30, 71]","[40, 89]","[50, 77]","[60, 69]","[70, 85]"
"[0, 106]","[10, 88]","[20, 72]","[30, 75]","[40, 92]","[50, 78]","[60, 74]","[70, 84]"
"[0, 102]","[10, 83]","[20, 70]","[30, 70]","[40, 89]","[50, 77]","[60, 73]","[70, 80]"
"[0, 101]","[10, 86]","[20, 72]","[30, 72]","[40, 92]","[50, 78]","[60, 72]","[70, 81]"
"[0, 108]","[10, 86]","[20, 70]","[30, 71]","[40, 96]","[50, 77]","[60, 70]","[70, 83]"
"[0, 109]","[10, 86]","[20, 71]","[30, 72]","[40, 88]","[50, 78]","[60, 71]","[70, 83]"
"[0, 100]","[10, 84]","[20, 73]","[30, 74]","[40, 92]","[50, 79]","[60, 73]","[70, 81]","[90, 115]"
"[0, 110]","[10, 82]","[20, 73]","[30, 72]","[40, 96]","[50, 81]","[60, 71]","[70, 80]","[80, 122]"
"[0, 102]","[10, 84]","[20, 72]","[30, 73]","[40, 93]","[50, 79]","[60, 70]","[70, 83]"
"[0, 95]","[10, 82]","[20, 71]","[30, 76]","[40, 91]","[50, 81]","[60, 71]","[70, 81]"
"[0, 101]","[10, 84]","[20, 71]","[30, 73]","[40, 90]","[50, 78]","[60, 71]","[70, 83]"
"[0, 102]","[10, 85]","[20, 73]","[30, 72]","[40, 89]","[50, 80]","[60, 71]","[70, 82]","[80, 133]"
"[0, 103]","[10, 85]","[20, 73]","[30, 76]","[40, 91]","[50, 75]","[60, 73]","[70, 83]"
"[0, 100]","[10, 84]","[20, 74]","[30, 74]","[40, 92]","[50, 81]","[60, 70]","[70, 81]"
"[0, 105]","[10, 79]","[20, 74]","[30, 73]","[40, 93]","[50, 80]","[60, 71]","[70, 81]"
"[0, 99]","[10, 78]","[20, 73]","[30, 75]","[40, 90]","[50, 78]","[60, 71]","[70, 81]","[80, 126]"
