"[0, 100]","[10, 85]","[20, 70]","[30, 75]","[40, 85]","[50, 73]","[60, 77]","[70, 112]"
"[0, 105]","[10, 83]","[20, 71]","[30, 75]","[40, 91]","[50, 72]","[60, 78]","[70, 96]"
"[0, 105]","[10, 80]","[20, 70]","[30, 73]","[40, 87]","[50, 69]","[60, 79]","[70, 116]"
"[0, 107]","[10, 86]","[20, 73]","[30, 73]","[40, 89]","[50, 72]","[60, 79]","[70, 112]"
"[0, 104]","[10, 84]","[20, 71]","[30, 77]","[40, 86]","[50, 71]","[60, 79]","[70, 112]"
"[0, 99]","[10, 87]","[20, 69]","[30, 74]","[40, 91]","[50, 71]","[60, 79]","[70, 114]"
"[0, 103]","[10, 83]","[20, 74]","[30, 75]","[40, 87]","[50, 72]","[60, 78]","[70, 110]"
"[0, 104]","[10, 83]","[20, 74]","[30, 77]","[40, 90]","[50, 74]","[60, 77]","[70, 108]"
"[0, 103]","[10, 84]","[20, 78]","[30, 75]","[40, 87]","[50, 73]","[60, 79]","[70, 106]"
"[0, 107]","[10, 82]","[20, 71]","[30, 75]","[40, 85]","[50, 69]","[60, 76]","[70, 106]"
"[0, 96]","[10, 86]","[20, 73]","[30, 75]","[40, 91]","[50, 72]","[60, 78]","[70, 111]"
"[0, 103]","[10, 84]","[20, 72]","[30, 74]","[40, 89]","[50, 72]","[60, 78]","[70, 108]"
"[0, 107]","[10, 84]","[20, 73]","[30, 72]","[40, 89]","[50, 72]","[60, 78]","[70, 109]"
"[0, 96]","[10, 85]","[20, 72]","[30, 74]","[40, 87]","[50, 69]","[60, 77]","[70, 110]"
"[0, 101]","[10, 83]","[20, 76]","[30, 74]","[40, 90]","[50, 72]","[60, 80]","[70, 112]"
"[0, 109]","[10, 82]","[20, 72]","[30, 75]","[40, 88]","[50, 74]","[60, 79]","[70, 106]"
"[0, 102]","[10, 86]","[20, 73]","[30, 75]","[40, 88]","[50, 70]","[60, 79]","[70, 107]"
"[0, 102]","[10, 82]","[20, 74]","[30, 77]","[40, 86]","[50, 70]","[60, 79]","[70, 109]"
"[0, 107]","[10, 83]","[20, 75]","[30, 76]","[40, 84]","[50, 71]","[60, 81]","[70, 109]"
"[0, 103]","[10, 80]","[20, 74]","[30, 72]","[40, 88]","[50, 70]","[60, 81]","[70, 111]"
"[0, 107]","[10, 80]","[20, 70]","[30, 74]","[40, 88]","[50, 72]","[60, 79]","[70, 115]"
"[10, 81]","[20, 71]","[30, 77]","[40, 86]","[50, 73]","[60, 79]","[70, 109]"
"[0, 111]","[10, 81]","[20, 72]","[30, 77]","[40, 88]","[50, 71]","[60, 77]","[70, 114]"
"[0, 104]","[10, 81]","[20, 73]","[30, 74]","[40, 88]","[50, 71]","[60, 81]","[70, 109]"
"[0, 104]","[10, 80]","[20, 72]","[30, 73]","[40, 87]","[50, 71]","[60, 82]","[70, 111]"
"[0, 102]","[10, 89]","[20, 72]","[30, 76]","[40, 87]","[50, 69]","[60, 80]","[70, 113]"
"[0, 106]","[10, 77]","[20, 73]","[30, 75]","[40, 88]","[50, 71]","[60, 83]","[70, 103]"
"[0, 104]","[10, 85]","[20, 74]","[30, 74]","[40, 91]","[50, 71]","[60, 79]","[70, 114]"
"[0, 106]","[10, 81]","[20, 70]","[30, 75]","[40, 87]","[50, 71]","[60, 77]","[70, 110]"
"[0, 107]","[10, 84]","[20, 71]","[30, 76]","[40, 91]","[50, 73]","[60, 80]","[70, 109]"
"[0, 102]","[10, 85]","[20, 73]","[30, 76]","[40, 89]","[50, 72]","[60, 79]","[70, 111]"
"[0, 108]","[10, 86]","[20, 72]","[30, 73]","[40, 87]","[50, 72]","[60, 80]","[70, 110]"
"[0, 105]","[10, 83]","[20, 74]","[30, 78]","[40, 89]","[50, 72]","[60, 82]","[70, 110]"
"[0, 110]","[10, 87]","[20, 75]","[30, 74]","[40, 88]","[50, 72]","[60, 79]","[70, 109]"
"[0, 109]","[10, 85]","[20, 74]","[30, 75]","[40, 87]","[50, 73]","[60, 79]","[70, 113]"
"[0, 96]","[10, 83]","[20, 74]","[30, 75]","[40, 85]","[50, 73]","[60, 79]","[70, 111]"
"[0, 105]","[10, 87]","[20, 73]","[30, 75]","[40, 88]","[50, 71]","[60, 79]","[70, 110]"
"[0, 98]","[10, 82]","[20, 73]","[30, 73]","[40, 89]","[50, 72]","[60, 78]","[70, 106]"
"[0, 103]","[10, 87]","[20, 72]","[30, 74]","[40, 85]","[50, 73]","[60, 79]","[70, 112]"
"[0, 101]","[10, 81]","[20, 71]","[30, 75]","[40, 88]","[50, 72]","[60, 82]","[70, 114]"
"[0, 101]","[10, 79]","[20, 72]","[30, 75]","[40, 90]","[50, 75]","[60, 80]","[70, 108]"
"[0, 104]","[10, 84]","[20, 72]","[30, 76]","[40, 89]","[50, 72]","[60, 79]","[70, 110]"
"[0, 103]","[10, 85]","[20, 73]","[30, 75]","[40, 88]","[50, 71]","[60, 78]","[70, 109]"
"[0, 106]","[10, 86]","[20, 73]","[30, 76]","[40, 86]","[50, 76]","[60, 80]","[70, 110]"
"[0, 106]","[10, 84]","[20, 74]","[30, 77]","[40, 86]","[50, 73]","[60, 80]","[70, 112]"
"[0, 97]","[10, 85]","[20, 72]","[30, 78]","[40, 88]","[50, 71]","[60, 79]","[70, 116]"
"[0, 103]","[10, 83]","[20, 73]","[30, 74]","[40, 86]","[50, 75]","[60, 79]","[70, 109]"
"[0, 106]","[10, 82]","[20, 73]","[30, 76]","[40, 88]","[50, 74]","[60, 77]","[70, 111]"
"[0, 98]","[10, 81]","[20, 73]","[30, 76]","[40, 88]","[50, 75]","[60, 81]","[70, 110]"
"[0, 99]","[10, 83]","[20, 72]","[30, 76]","[40, 87]","[50, 72]","[60, 80]","[70, 108]"
"[0, 103]","[10, 86]","[20, 72]","[30, 76]","[40, 90]","[50, 73]","[60, 79]","[70, 108]"
"[0, 99]","[10, 84]","[20, 70]","[30, 76]","[40, 87]","[50, 73]","[60, 78]","[70, 111]"
"[0, 101]","[10, 87]","[20, 72]","[30, 76]","[40, 88]","[50, 73]","[60, 81]","[70, 108]"
"[0, 99]","[10, 85]","[20, 70]","[30, 75]","[40, 87]","[50, 73]","[60, 79]","[70, 109]"
"[0, 96]","[10, 84]","[20, 74]","[30, 70]","[40, 88]","[50, 71]","[60, 80]","[70, 109]"
"[0, 99]","[10, 81]","[20, 70]","[30, 77]","[40, 92]","[50, 73]","[60, 75]","[70, 110]"
"[0, 105]","[10, 84]","[20, 73]","[30, 73]","[40, 88]","[50, 70]","[60, 77]","[70, 110]"
"[0, 98]","[10, 86]","[20, 72]","[30, 76]","[40, 88]","[50, 72]","[60, 78]","[70, 110]"
"[0, 106]","[10, 80]","[20, 71]","[30, 73]","[40, 87]","[50, 74]","[60, 85]","[70, 110]"
"[0, 103]","[10, 86]","[20, 72]","[30, 75]","[40, 89]","[50, 71]","[60, 77]","[70, 111]"
"[0, 106]","[10, 86]","[20, 72]","[30, 77]","[40, 87]","[50, 75]","[60, 81]","[70, 108]"
"[0, 104]","[10, 83]","[20, 75]","[30, 76]","[40, 86]","[50, 75]","[60, 77]","[70, 111]"
"[0, 99]","[10, 90]","[20, 72]","[30, 74]","[40, 90]","[50, 76]","[60, 80]","[70, 110]"
"[0, 106]","[10, 84]","[20, 73]","[30, 75]","[40, 88]","[50, 76]","[60, 78]","[70, 109]"
"[0, 102]","[10, 80]","[20, 73]","[30, 75]","[40, 87]","[50, 72]","[60, 80]","[70, 115]"
"[0, 103]","[10, 85]","[20, 71]","[30, 74]","[40, 88]","[50, 74]","[60, 80]","[70, 109]"
"[0, 106]","[10, 82]","[20, 74]","[30, 75]","[40, 92]","[50, 74]","[60, 78]","[70, 110]"
"[0, 103]","[10, 87]","[20, 72]","[30, 75]","[40, 86]","[50, 73]","[60, 81]","[70, 111]"
"[0, 104]","[10, 86]","[20, 69]","[30, 79]","[40, 88]","[50, 75]","[60, 80]","[70, 110]"
"[0, 106]","[10, 82]","[20, 73]","[30, 73]","[40, 89]","[50, 71]","[60, 79]","[70, 111]"
"[0, 99]","[10, 85]","[20, 72]","[30, 78]","[40, 88]","[50, 74]","[60, 80]","[70, 120]"
"[0, 110]","[10, 82]","[20, 72]","[30, 72]","[40, 90]","[50, 73]","[60, 79]","[70, 112]"
"[0, 105]","[10, 84]","[20, 73]","[30, 74]","[40, 90]","[50, 75]","[60, 78]","[70, 108]"
"[0, 102]","[10, 86]","[20, 75]","[30, 75]","[40, 89]","[50, 71]","[60, 77]","[70, 107]"
"[0, 103]","[10, 83]","[20, 73]","[30, 75]","[40, 86]","[50, 75]","[60, 79]","[70, 110]"
"[0, 105]","[10, 86]","[20, 72]","[30, 78]","[40, 87]","[50, 73]","[60, 83]","[70, 101]"
"[0, 103]","[10, 89]","[20, 70]","[30, 75]","[40, 90]","[50, 75]","[60, 80]","[70, 108]"
