"[19.671487083200425, 59.561097378213546]","[48.863073054754445, 63.48048159893413]"
"[19.329764281881296, 61.53168767202544]","[48.79953612269636, 63.46929841777325]"
"[19.25962652569077, 60.50410602100003]","[48.735278923595644, 63.45792790664841]"
"[19.147106200281893, 61.49973330197679]","[48.69027339031691, 64.46543713452296]"
"[19.617173159035342, 60.56648723946312]","[48.84608294861068, 62.46192935345768]"
"[19.158903553399405, 62.51698263312463]","[53.711523767102115, 64.14247866737517]"
"[19.21940756162746, 62.52744453229337]","[48.67029225441992, 63.446357129579994]"
"[19.147106200281893, 61.49973330197679]","[48.582256799662616, 65.46172759082522]"
"[19.208671463403324, 61.51056798726785]","[48.715927481623936, 62.438547445065936]"
"[19.668462061855045, 58.5453826018556]","[53.5869813931586, 64.1301464361132]"
"[19.43440863744315, 59.519499754055026]","[48.97332097252041, 62.48451691644733]"
"[19.311808346020115, 59.497605456747415]","[53.76198520533317, 61.13255820188657]"
"[19.320891454764634, 60.51495023119159]","[48.582256799662616, 65.46172759082522]"
"[19.174793279184755, 58.45611513856984]","[48.69027339031691, 64.46543713452296]"
"[19.311808346020115, 59.497605456747415]","[49.134995426334086, 60.481849955353205]"
"[19.42729269374768, 58.502310742753956]","[48.762684226726066, 61.43065384429273]"
"[19.147106200281893, 61.49973330197679]","[49.08484400716154, 61.488713667823646]"
"[19.084844007161543, 61.488713667823646]","[48.82860445766549, 61.4426753293176]"
"[19.208671463403324, 61.51056798726785]","[53.67537031520157, 65.14369930611001]"
"[19.500627386907944, 60.54639274550525]","[49.02187593547841, 61.477502324203854]"
"[19.084844007161543, 61.488713667823646]","[49.14710617419245, 61.499733297400375]"
"[19.110284061210134, 63.52335450708834]","[48.95818488597768, 61.466095166252096]"
"[19.488618221709093, 58.51336110801687]","[53.711523767102115, 64.14247866737517]"
"[19.158903553399405, 62.51698263312463]","[49.0358729166243, 62.495522651848994]"
"[19.279247128807068, 62.53773228022472]","[48.79953612269636, 63.46929841777325]"
"[19.373455331968216, 59.50864684100508]","[48.67029225441992, 63.446357129579994]"
"[19.43440863744315, 59.519499754055026]","[48.514986327207446, 62.40189994327499]"
"[19.197666558726755, 60.49307465109646]","[53.83133821183416, 64.154112727654]"
"[19.147106200281893, 61.49973330197679]","[53.74838842857894, 63.14126902514073]"
"[19.24945070272563, 59.48636967328142]","[48.538078232061956, 63.422605204208686]"
"[19.311808346020115, 59.497605456747415]","[48.67029225441992, 63.446357129579994]"
"[19.25962652569077, 60.50410602100003]","[53.96526415062365, 62.157739777698715]"
"[19.494676811290518, 59.530166136582544]","[48.735278923595644, 63.45792790664841]"
"[19.134995427270738, 60.481849955521504]","[48.67029225441992, 63.446357129579994]"
"[19.55427078000904, 59.54065199626192]","[48.893766839054976, 61.454487927991224]"
"[19.279247128807068, 62.53773228022472]","[48.91006201909939, 62.47332051523027]"
"[19.097731122280056, 62.50634392667967]","[48.582256799662616, 65.46172759082522]"
"[19.147106200281893, 61.49973330197679]","[48.67029225441992, 63.446357129579994]"
"[19.494676811290518, 59.530166136582544]","[48.94262532425202, 60.44697701429229]"
"[19.208671463403324, 61.51056798726785]","[48.60456773012785, 63.43458559873221]"
"[19.158903553399405, 62.51698263312463]","[49.0358729166243, 62.495522651848994]"
"[19.084844007161543, 61.488713667823646]","[48.69599692801896, 61.418418064635716]"
"[19.373455331968216, 59.50864684100508]","[48.62575084117195, 64.45408332580135]"
"[19.25962652569077, 60.50410602100003]","[48.79953612269636, 63.46929841777325]"
"[18.973320905925302, 62.48451690470502]","[48.91006201909939, 62.47332051523027]"
"[19.147106200281893, 61.49973330197679]","[53.711523767102115, 64.14247866737517]"
"[19.38147166948976, 60.5256090490244]","[48.735278923595644, 63.45792790664841]"
"[19.25962652569077, 60.50410602100003]","[48.538078232061956, 63.422605204208686]"
"[19.549246067143095, 58.524219283866685]","[48.582742397297054, 62.414332285780745]"
"[19.208671463403324, 61.51056798726785]","[48.95818488597768, 61.466095166252096]"
"[19.43440863744315, 59.519499754055026]","[48.78137447039788, 62.45033912710238]"
"[19.500627386907944, 60.54639274550525]","[49.31180834602012, 59.497605456747415]"
