"[10, 62]","[20, 50]","[30, 56]","[40, 98]","[50, 60]","[60, 47]","[70, 54]"
"[10, 66]","[20, 52]","[30, 56]","[40, 84]","[50, 59]","[60, 48]","[70, 58]"
"[10, 63]","[20, 52]","[30, 54]","[40, 92]","[50, 58]","[60, 47]","[70, 56]"
"[10, 66]","[20, 51]","[30, 53]","[40, 84]","[50, 60]","[60, 48]","[70, 59]"
"[10, 64]","[20, 52]","[30, 55]","[40, 92]","[50, 59]","[60, 46]","[70, 54]"
"[10, 67]","[20, 51]","[30, 53]","[40, 96]","[50, 60]","[60, 47]","[70, 57]"
"[10, 62]","[20, 49]","[30, 53]","[40, 85]","[50, 60]","[60, 46]","[70, 55]"
"[10, 64]","[20, 50]","[30, 53]","[50, 60]","[60, 47]","[70, 56]"
"[10, 68]","[20, 51]","[30, 55]","[50, 59]","[60, 49]","[70, 56]"
"[0, 103]","[10, 64]","[20, 51]","[30, 53]","[40, 83]","[50, 59]","[60, 48]","[70, 58]"
"[10, 67]","[20, 48]","[30, 52]","[40, 94]","[50, 59]","[60, 48]","[70, 57]"
"[10, 63]","[20, 51]","[30, 52]","[40, 89]","[50, 61]","[60, 46]","[70, 56]"
"[10, 65]","[20, 52]","[30, 55]","[40, 90]","[50, 60]","[60, 46]","[70, 55]"
"[10, 66]","[20, 50]","[30, 55]","[40, 89]","[50, 60]","[60, 45]","[70, 59]"
"[10, 67]","[20, 51]","[30, 52]","[40, 88]","[50, 60]","[60, 48]","[70, 56]"
"[10, 68]","[20, 48]","[30, 52]","[40, 79]","[50, 61]","[60, 47]","[70, 58]"
"[10, 64]","[20, 50]","[30, 54]","[40, 93]","[50, 60]","[60, 46]","[70, 57]"
"[10, 71]","[20, 50]","[30, 54]","[40, 85]","[50, 59]","[60, 47]","[70, 57]"
"[0, 104]","[10, 65]","[20, 51]","[30, 53]","[40, 90]","[50, 60]","[60, 48]","[70, 56]"
"[0, 98]","[10, 65]","[20, 50]","[30, 53]","[40, 84]","[50, 62]","[60, 46]","[70, 58]"
"[10, 63]","[20, 51]","[30, 53]","[40, 89]","[50, 59]","[60, 48]","[70, 57]"
