"[10, 65]","[20, 21]","[30, 34]","[40, 22]","[50, 29]"
"[10, 71]","[20, 23]","[30, 34]","[40, 21]","[50, 27]"
"[10, 69]","[20, 23]","[30, 33]","[40, 19]","[50, 28]"
"[10, 69]","[20, 24]","[30, 31]","[40, 21]","[50, 27]"
"[10, 67]","[20, 21]","[30, 32]","[40, 22]","[50, 28]"
"[10, 71]","[20, 23]","[30, 34]","[40, 21]","[50, 29]"
"[10, 65]","[20, 22]","[30, 35]","[40, 22]","[50, 29]"
"[10, 64]","[20, 22]","[30, 33]","[40, 24]","[50, 29]"
"[10, 69]","[20, 23]","[30, 33]","[40, 22]","[50, 30]"
"[10, 66]","[20, 24]","[30, 31]","[40, 23]","[50, 27]"
"[10, 66]","[20, 21]","[30, 33]","[40, 20]","[50, 28]"
"[10, 71]","[20, 24]","[30, 33]","[40, 22]","[50, 28]"
"[10, 63]","[20, 23]","[30, 34]","[40, 22]","[50, 28]"
"[10, 68]","[20, 23]","[30, 33]","[40, 20]","[50, 29]"
"[10, 64]","[20, 22]","[30, 31]","[40, 21]","[50, 28]"
"[10, 65]","[20, 24]","[30, 32]","[40, 20]","[50, 26]"
"[10, 71]","[20, 22]","[30, 33]","[40, 19]","[50, 29]"
"[10, 67]","[20, 24]","[30, 33]","[40, 23]","[50, 28]"
"[10, 68]","[20, 22]","[30, 35]","[40, 21]","[50, 29]"
"[10, 66]","[20, 23]","[30, 34]","[40, 21]","[50, 28]"
"[10, 66]","[20, 22]","[30, 34]","[40, 21]","[50, 30]"
"[10, 65]","[20, 22]","[30, 33]","[40, 21]","[50, 28]"
"[10, 66]","[20, 20]","[30, 34]","[40, 22]","[50, 30]"
"[10, 65]","[20, 24]","[30, 33]","[40, 23]","[50, 29]"
"[10, 68]","[20, 22]","[30, 34]","[40, 21]","[50, 29]"
"[10, 63]","[20, 21]","[30, 34]","[40, 20]","[50, 31]"
"[10, 66]","[20, 24]","[30, 33]","[40, 20]","[50, 29]"
"[10, 68]","[20, 22]","[30, 33]","[40, 20]","[50, 26]"
"[10, 67]","[20, 23]","[30, 34]","[40, 22]","[50, 29]"
"[10, 62]","[20, 24]","[30, 34]","[40, 21]","[50, 30]"
"[10, 64]","[20, 24]","[30, 33]","[40, 24]","[50, 30]"
"[10, 69]","[20, 23]","[30, 34]","[40, 20]","[50, 27]"
"[10, 68]","[20, 23]","[30, 34]","[40, 22]","[50, 27]"
