"[18.846083242322997, 62.461929405902]","[58.74343933189234, 60.41020064463506]"
"[19.21940756162746, 62.52744453229337]","[58.29195230953721, 64.39428639098243]"
"[19.25962652569077, 60.50410602100003]","[58.37707686604937, 62.37635930333016]"
"[19.494676811290518, 59.530166136582544]","[58.25094401924669, 65.4030690722315]"
"[19.208671463403324, 61.51056798726785]","[58.60668875379013, 60.384558944611555]"
"[19.55427078000904, 59.54065199626192]","[58.40280200428424, 63.39800863912353]"
"[19.12254075442051, 59.46329438855288]","[58.56025902213079, 61.39327997718493]"
"[19.311808346020115, 59.497605456747415]","[58.514986327207446, 62.40189994327499]"
"[19.389314022478544, 61.54198468681948]","[58.582742397297054, 62.414332285780745]"
"[19.373455331968216, 59.50864684100508]","[58.29195230953721, 64.39428639098243]"
"[19.488618221709093, 58.51336110801687]","[58.40280200428424, 63.39800863912353]"
"[19.42729269374768, 58.502310742753956]","[58.514986327207446, 62.40189994327499]"
"[19.269555363726443, 61.52121632337745]","[58.56025902213079, 61.39327997718493]"
"[19.208671463403324, 61.51056798726785]","[58.04292029944358, 65.36536180802455]"
"[19.668462061855045, 58.5453826018556]","[58.582742397297054, 62.414332285780745]"
"[19.549246067143095, 58.524219283866685]","[58.360244470724226, 64.40666574378383]"
"[19.197666558726755, 60.49307465109646]","[58.333978607701454, 63.385380375300656]"
"[19.617173159035342, 60.56648723946312]","[58.333978607701454, 63.385380375300656]"
"[19.43440863744315, 59.519499754055026]","[58.582742397297054, 62.414332285780745]"
"[19.373455331968216, 59.50864684100508]","[58.360244470724226, 64.40666574378383]"
"[19.311808346020115, 59.497605456747415]","[58.40280200428424, 63.39800863912353]"
"[19.269555363726443, 61.52121632337745]","[58.60456773012785, 63.43458559873221]"
"[19.609191054003574, 58.53489174630432]","[58.863073054754445, 63.48048159893413]"
"[19.43440863744315, 59.519499754055026]","[58.87700813076096, 60.43493870455133]"
"[19.38147166948976, 60.5256090490244]","[58.40280200428424, 63.39800863912353]"
"[19.494676811290518, 59.530166136582544]","[58.29195230953721, 64.39428639098243]"
"[19.609191054003574, 58.53489174630432]","[58.29195230953721, 64.39428639098243]"
"[19.727071246064277, 58.55569515219318]","[58.40280200428424, 63.39800863912353]"
"[19.549246067143095, 58.524219283866685]","[58.44643632412537, 62.389244006980505]"
"[19.329764281881296, 61.53168767202544]","[58.67546896530426, 60.39749663556266]"
"[19.373455331968216, 59.50864684100508]","[58.11306741439787, 65.37815638181945]"
"[19.609191054003574, 58.53489174630432]","[58.64972239415093, 62.426545203560714]"
"[19.488618221709093, 58.51336110801687]","[58.333978607701454, 63.385380375300656]"
"[19.239022927433858, 58.467973079665676]","[58.514986327207446, 62.40189994327499]"
"[19.311808346020115, 59.497605456747415]","[58.715927481623936, 62.438547445065936]"
"[19.38147166948976, 60.5256090490244]","[58.4708364059692, 63.41041625352949]"
"[19.25962652569077, 60.50410602100003]","[58.11306741439787, 65.37815638181945]"
"[19.25962652569077, 60.50410602100003]","[58.23587320623748, 62.34988228351691]"
"[19.494676811290518, 59.530166136582544]","[58.4708364059692, 63.41041625352949]"
"[19.84223887493871, 56.544870531600374]","[58.37707686604937, 62.37635930333016]"
"[19.084844007161543, 61.488713667823646]","[58.961869083325674, 57.398276655633246]"
"[19.785028825211672, 58.565833584465295]","[58.3068926546725, 62.36324025276067]"
"[19.43440863744315, 59.519499754055026]","[58.67546896530426, 60.39749663556266]"
"[19.55427078000904, 59.54065199626192]","[58.44643632412537, 62.389244006980505]"
"[19.25962652569077, 60.50410602100003]","[58.64972239415093, 62.426545203560714]"
"[19.668462061855045, 58.5453826018556]","[58.37707686604937, 62.37635930333016]"
"[19.500627386907944, 60.54639274550525]","[58.514986327207446, 62.40189994327499]"
"[19.668462061855045, 58.5453826018556]","[58.56025902213079, 61.39327997718493]"
"[19.78397317412856, 57.55028493319267]","[58.514986327207446, 62.40189994327499]"
"[19.373455331968216, 59.50864684100508]","[58.67546896530426, 60.39749663556266]"
"[19.78397317412856, 57.55028493319267]","[58.40280200428424, 63.39800863912353]"
"[19.441380232733426, 60.53608860872932]","[58.26434668213124, 63.37252542616161]"
"[19.21940756162746, 62.52744453229337]","[58.4708364059692, 63.41041625352949]"
"[19.320891454764634, 60.51495023119159]","[58.4708364059692, 63.41041625352949]"
"[19.42729269374768, 58.502310742753956]","[58.4708364059692, 63.41041625352949]"
"[19.61320457223154, 59.55096016828993]","[58.333978607701454, 63.385380375300656]"
"[19.42729269374768, 58.502310742753956]","[58.46663107289391, 60.357964423066264]"
"[19.55427078000904, 59.54065199626192]","[58.46663107289391, 60.357964423066264]"
"[19.671487083200425, 59.561097378213546]","[58.42128122471996, 61.36722062812942]"
"[19.609191054003574, 58.53489174630432]","[58.628524483661636, 61.405962635639355]"
"[19.38147166948976, 60.5256090490244]","[58.40280200428424, 63.39800863912353]"
"[19.320891454764634, 60.51495023119159]","[58.60456773012785, 63.43458559873221]"
"[19.071607783477788, 60.470430715792325]","[58.792096023449716, 59.40189743864478]"
"[19.725037079878287, 57.53979094766677]","[58.81061471872667, 60.42267916148431]"
"[19.605135262678093, 57.518250786450686]","[58.538078232061956, 63.422605204208686]"
"[19.43440863744315, 59.519499754055026]","[58.514986327207446, 62.40189994327499]"
"[19.24945070272563, 59.48636967328142]","[58.23587320623748, 62.34988228351691]"
"[19.158903553399405, 62.51698263312463]","[58.333978607701454, 63.385380375300656]"
"[19.373455331968216, 59.50864684100508]","[58.40280200428424, 63.39800863912353]"
"[19.269555363726443, 61.52121632337745]","[58.19389497679453, 63.3594363999864]"
"[19.609191054003574, 58.53489174630432]","[58.64972239415093, 62.426545203560714]"
"[19.320891454764634, 60.51495023119159]","[58.491180763093254, 61.38036794514505]"
"[19.55427078000904, 59.54065199626192]","[58.78137447039788, 62.45033912710238]"
"[19.25962652569077, 60.50410602100003]","[58.4708364059692, 63.41041625352949]"
"[19.668462061855045, 58.5453826018556]","[58.42128122471996, 61.36722062812942]"
"[19.671487083200425, 59.561097378213546]","[58.64972239415093, 62.426545203560714]"
"[19.42729269374768, 58.502310742753956]","[58.163998466732835, 62.33627813054919]"
"[19.43440863744315, 59.519499754055026]","[58.29195230953721, 64.39428639098243]"
"[19.071607783477788, 60.470430715792325]","[58.491180763093254, 61.38036794514505]"
"[19.197666558726755, 60.49307465109646]","[58.427756384297055, 64.41883014812683]"
"[19.197666558726755, 60.49307465109646]","[58.222860656025794, 64.38168640595444]"
"[19.55427078000904, 59.54065199626192]","[58.74343933189234, 60.41020064463506]"
"[19.18637505245902, 59.474936027655986]","[58.333978607701454, 63.385380375300656]"
"[19.899870311363664, 57.57073797470311]","[58.05046531778999, 63.33254392823279]"
"[19.494676811290518, 59.530166136582544]","[58.333978607701454, 63.385380375300656]"
"[19.320891454764634, 60.51495023119159]","[58.333978607701454, 63.385380375300656]"
"[19.329764281881296, 61.53168767202544]","[58.56025902213079, 61.39327997718493]"
"[19.320891454764634, 60.51495023119159]","[58.37707686604937, 62.37635930333016]"
"[19.727071246064277, 58.55569515219318]","[58.538078232061956, 63.422605204208686]"
"[19.320891454764634, 60.51495023119159]","[58.628524483661636, 61.405962635639355]"
"[19.55427078000904, 59.54065199626192]","[58.56025902213079, 61.39327997718493]"
"[19.727071246064277, 58.55569515219318]","[58.514986327207446, 62.40189994327499]"
"[19.25962652569077, 60.50410602100003]","[58.23587320623748, 62.34988228351691]"
"[19.373455331968216, 59.50864684100508]","[58.56025902213079, 61.39327997718493]"
"[19.488618221709093, 58.51336110801687]","[58.360244470724226, 64.40666574378383]"
"[19.549246067143095, 58.524219283866685]","[58.37707686604937, 62.37635930333016]"
"[19.441380232733426, 60.53608860872932]","[58.44643632412537, 62.389244006980505]"
"[19.441380232733426, 60.53608860872932]","[58.893766839054976, 61.454487927991224]"
"[19.197666558726755, 60.49307465109646]","[58.762684226726066, 61.43065384429273]"
"[19.549246067143095, 58.524219283866685]","[58.762684226726066, 61.43065384429273]"
"[19.320891454764634, 60.51495023119159]","[58.60668875379013, 60.384558944611555]"
"[19.269555363726443, 61.52121632337745]","[58.74343933189234, 60.41020064463506]"
"[19.311808346020115, 59.497605456747415]","[58.538078232061956, 63.422605204208686]"
"[19.373455331968216, 59.50864684100508]","[58.491180763093254, 61.38036794514505]"
"[19.208671463403324, 61.51056798726785]","[58.333978607701454, 63.385380375300656]"
"[19.197666558726755, 60.49307465109646]","[58.74343933189234, 60.41020064463506]"
