50,40,0
"[19.00749195147698, 60.45880636270502]","[53.885512790465896, 70.6351596699101]","[10, 60]","[20, 51]","[30, 54]","[40, 95]","[50, 60]","[60, 43]","[70, 65]"
"[19.174793279184755, 58.45611513856984]","[54.772994513815114, 67.76017118080661]","[10, 59]","[20, 51]","[30, 52]","[40, 99]","[50, 60]","[60, 46]","[70, 62]"
"[19.292987003706116, 57.460963903296296]","[54.27844577546945, 69.69888975227238]","[10, 61]","[20, 49]","[30, 51]","[40, 98]","[50, 59]","[60, 45]","[70, 64]"
"[19.05801446156515, 59.45145458918067]","[57.4092542342328, 71.34756800570794]","[10, 61]","[20, 49]","[30, 53]","[50, 59]","[60, 46]","[70, 65]"
"[19.197666558726755, 60.49307465109646]","[54.10793528926526, 69.66020922998626]","[10, 63]","[20, 51]","[30, 54]","[40, 97]","[50, 58]","[60, 44]","[70, 64]"
"[19.348319846187636, 56.453911957841456]","[54.27844577546945, 69.69888975227238]","[10, 59]","[20, 50]","[30, 50]","[40, 99]","[50, 58]","[60, 45]","[70, 64]"
"[19.174793279184755, 58.45611513856984]","[54.222009248685914, 69.6861356909346]","[10, 60]","[20, 50]","[30, 52]","[40, 98]","[50, 59]","[60, 44]","[70, 64]"
"[18.94262532425202, 60.44697701429229]","[53.72192837313824, 71.6235102402054]","[10, 60]","[20, 50]","[30, 54]","[40, 96]","[50, 58]","[60, 44]","[70, 66]"
"[19.00749195147698, 60.45880636270502]","[54.222009248685914, 69.6861356909346]","[10, 60]","[20, 51]","[30, 54]","[40, 98]","[50, 59]","[60, 44]","[70, 64]"
"[18.828604502647313, 61.44267533749598]","[54.10059552286603, 68.632432565097]","[10, 60]","[20, 50]","[30, 55]","[40, 94]","[50, 57]","[60, 45]","[70, 63]"
"[19.18637505245902, 59.474936027655986]","[54.66437320513358, 66.70997712828809]","[10, 63]","[20, 49]","[30, 53]","[40, 100]","[50, 57]","[60, 43]","[70, 61]"
"[19.311808346020115, 59.497605456747415]","[53.82707086332203, 70.62180189274031]","[10, 62]","[20, 52]","[30, 53]","[40, 95]","[50, 58]","[60, 44]","[70, 65]"
"[19.533725557455778, 55.47125030506217]","[53.953209397806305, 71.67567992014396]","[10, 60]","[20, 50]","[30, 49]","[40, 101]","[50, 57]","[60, 44]","[70, 66]"
"[19.302509582321324, 58.47962230515757]","[53.64922890997145, 70.58083865533266]","[10, 60]","[20, 52]","[30, 52]","[40, 93]","[50, 57]","[60, 44]","[70, 65]"
"[19.00749195147698, 60.45880636270502]","[54.10793528926526, 69.66020922998626]","[10, 60]","[20, 51]","[30, 54]","[40, 93]","[50, 60]","[60, 46]","[70, 64]"
"[19.365263204693754, 58.49106185358397]","[54.32627813179522, 67.658236313665]","[10, 62]","[20, 51]","[30, 52]","[40, 96]","[50, 56]","[60, 45]","[70, 62]"
"[19.12254075442051, 59.46329438855288]","[53.78033742145152, 71.63675747316542]","[10, 59]","[20, 52]","[30, 53]","[40, 97]","[50, 58]","[60, 44]","[70, 66]"
"[19.162911530180043, 57.436573831489795]","[53.500307806810596, 72.59864087914025]","[10, 59]","[20, 49]","[30, 51]","[40, 95]","[50, 58]","[60, 44]","[70, 67]"
"[19.420032397506635, 57.48449087576804]","[53.983235301213384, 68.60514415240598]","[10, 61]","[20, 51]","[30, 51]","[40, 94]","[50, 57]","[60, 43]","[70, 63]"
"[18.992703742345864, 59.43939711730295]","[54.17168038125833, 70.6998409703897]","[10, 58]","[20, 51]","[30, 53]","[40, 101]","[50, 57]","[60, 45]","[70, 65]"
"[19.174793279184755, 58.45611513856984]","[53.72192837313824, 71.6235102402054]","[10, 61]","[20, 49]","[30, 52]","[40, 94]","[50, 60]","[60, 44]","[70, 66]"
"[19.373455331968216, 59.50864684100508]","[54.16517148929134, 69.67324246558286]","[10, 64]","[20, 51]","[30, 53]","[40, 98]","[50, 59]","[60, 43]","[70, 64]"
"[18.992703742345864, 59.43939711730295]","[54.10793528926526, 69.66020922998626]","[10, 60]","[20, 49]","[30, 53]","[40, 95]","[50, 59]","[60, 45]","[70, 64]"
"[19.41262359875475, 56.46600711300273]","[53.96274870763442, 72.70219442426769]","[10, 60]","[20, 50]","[30, 50]","[40, 99]","[50, 60]","[60, 46]","[70, 67]"
"[19.24945070272563, 59.48636967328142]","[54.442834398096615, 68.71082228028651]","[10, 63]","[20, 50]","[30, 53]","[40, 96]","[50, 61]","[60, 45]","[70, 63]"
"[18.743439193670746, 60.410200618880026]","[53.792327223657516, 72.66439524972715]","[10, 59]","[20, 48]","[30, 54]","[40, 97]","[50, 59]","[60, 46]","[70, 67]"
"[19.109804246224584, 58.44404279969036]","[57.58303975355723, 70.36278560599877]","[10, 59]","[20, 50]","[30, 52]","[50, 60]","[60, 46]","[70, 64]"
