50,20,0
"[34.74718966675539, 56.205076065888306]","[57.247919194420824, 69.28626801009439]","[30, 58]","[40, 49]","[50, 57]","[60, 43]","[70, 63]"
"[34.84275928619357, 56.213925193411164]","[57.8287839181974, 63.290315218550994]","[30, 60]","[40, 49]","[50, 54]","[60, 45]","[70, 57]"
"[34.884171853640176, 53.20461228806025]","[57.20116757519847, 68.26047455548364]","[30, 58]","[40, 46]","[50, 55]","[60, 43]","[70, 62]"
"[34.834965358207675, 53.19985828083772]","[58.222860656025794, 64.38168640595444]","[30, 57]","[40, 46]","[50, 58]","[60, 48]","[70, 58]"
"[34.79199169539797, 55.20488338417783]","[57.32315646964274, 69.30007314668029]","[30, 58]","[40, 48]","[50, 56]","[60, 45]","[70, 63]"
"[34.6416994282156, 55.190498505802275]","[57.609944017491834, 67.3193063749446]","[30, 55]","[40, 48]","[50, 56]","[60, 46]","[70, 61]"
"[34.84275928619357, 56.213925193411164]","[57.82753013959205, 65.32559587551907]","[30, 60]","[40, 49]","[50, 56]","[60, 46]","[70, 59]"
"[34.69806859047349, 56.200462826302456]","[57.461165637773206, 67.29175379385423]","[30, 57]","[40, 49]","[50, 56]","[60, 44]","[70, 61]"
"[34.660039571251566, 58.20556311206295]","[57.353900359662795, 68.28893514971075]","[30, 58]","[40, 51]","[50, 58]","[60, 42]","[70, 62]"
"[34.93411881367315, 55.21810730063111]","[57.21864374510039, 70.29750658654439]","[30, 61]","[40, 48]","[50, 55]","[60, 46]","[70, 64]"
"[34.84275928619357, 56.213925193411164]","[57.82753013959205, 65.32559587551907]","[30, 60]","[40, 49]","[50, 55]","[60, 47]","[70, 59]"
"[34.88760936973866, 55.21382040162985]","[57.50309615191875, 68.31639549867667]","[30, 60]","[40, 48]","[50, 57]","[60, 45]","[70, 62]"
"[34.69274651526005, 55.19543059326718]","[57.21864374510039, 70.29750658654439]","[30, 56]","[40, 48]","[50, 55]","[60, 46]","[70, 64]"
"[34.69274651526005, 55.19543059326718]","[57.64434926641302, 66.30867509803033]","[30, 56]","[40, 48]","[50, 57]","[60, 44]","[70, 60]"
"[34.84275928619357, 56.213925193411164]","[57.461165637773206, 67.29175379385423]","[30, 60]","[40, 49]","[50, 55]","[60, 45]","[70, 61]"
"[34.78845868657992, 54.20002154353157]","[57.609944017491834, 67.3193063749446]","[30, 57]","[40, 47]","[50, 57]","[60, 45]","[70, 61]"
"[34.837644832447495, 54.204728411939584]","[57.53598940071659, 67.30565217982135]","[30, 58]","[40, 47]","[50, 57]","[60, 44]","[70, 61]"
"[34.931598150233, 52.20453814535619]","[57.32315646964274, 69.30007314668029]","[30, 58]","[40, 45]","[50, 57]","[60, 44]","[70, 63]"
"[34.79199169539797, 55.20488338417783]","[57.56973776670272, 66.29472989090381]","[30, 58]","[40, 48]","[50, 56]","[60, 44]","[70, 60]"
"[34.74283582156159, 55.20022379574111]","[57.263965178173734, 71.32177749762974]","[30, 57]","[40, 48]","[50, 57]","[60, 46]","[70, 65]"
"[34.73833249009448, 54.19517824512817]","[57.604378357153124, 65.28362093429956]","[30, 56]","[40, 47]","[50, 57]","[60, 42]","[70, 59]"
"[34.70321290850455, 57.20530153659687]","[57.57641383856781, 68.32976663045076]","[30, 58]","[40, 50]","[50, 55]","[60, 48]","[70, 62]"
"[34.88760936973866, 55.21382040162985]","[57.247919194420824, 69.28626801009439]","[30, 60]","[40, 48]","[50, 56]","[60, 44]","[70, 63]"
"[34.79199169539797, 55.20488338417783]","[57.17181329276414, 69.2722175450505]","[30, 58]","[40, 48]","[50, 55]","[60, 44]","[70, 63]"
"[34.78845868657992, 54.20002154353157]","[57.53598940071659, 67.30565217982135]","[30, 57]","[40, 47]","[50, 56]","[60, 45]","[70, 61]"
"[34.88591467715625, 54.20930437094114]","[57.461165637773206, 67.29175379385423]","[30, 59]","[40, 47]","[50, 56]","[60, 44]","[70, 61]"
"[34.979792890434545, 55.22227830430833]","[57.47102962933896, 69.32696013263563]","[30, 62]","[40, 48]","[50, 57]","[60, 46]","[70, 63]"
"[34.79199169539797, 55.20488338417783]","[57.06690939270743, 70.26974960152141]","[30, 58]","[40, 48]","[50, 54]","[60, 45]","[70, 64]"
"[34.88591467715625, 54.20930437094114]","[57.353900359662795, 68.28893514971075]","[30, 59]","[40, 47]","[50, 56]","[60, 44]","[70, 62]"
"[34.78480692030467, 53.19496534641786]","[57.461165637773206, 67.29175379385423]","[30, 56]","[40, 46]","[50, 55]","[60, 45]","[70, 61]"
"[34.648026795635325, 56.195719444123434]","[57.42893468089926, 68.30279028327033]","[30, 56]","[40, 49]","[50, 55]","[60, 46]","[70, 62]"
"[34.74718966675539, 56.205076065888306]","[57.53598940071659, 67.30565217982135]","[30, 58]","[40, 49]","[50, 56]","[60, 45]","[70, 61]"
"[34.884171853640176, 53.20461228806025]","[57.20116757519847, 68.26047455548364]","[30, 58]","[40, 46]","[50, 57]","[60, 41]","[70, 62]"
"[34.61101431496632, 58.20104237524191]","[57.57641383856781, 68.32976663045076]","[30, 57]","[40, 51]","[50, 57]","[60, 46]","[70, 62]"
"[34.84275928619357, 56.213925193411164]","[57.609944017491834, 67.3193063749446]","[30, 60]","[40, 49]","[50, 56]","[60, 46]","[70, 61]"
"[34.654136891482864, 57.2007364205347]","[57.49423799887891, 66.28052819142513]","[30, 57]","[40, 50]","[50, 55]","[60, 44]","[70, 60]"
"[34.69274651526005, 55.19543059326718]","[57.143214238717654, 70.28375137271254]","[30, 56]","[40, 48]","[50, 56]","[60, 44]","[70, 64]"
"[34.84024197419821, 55.20941289715067]","[57.04474892270196, 68.23096048582973]","[30, 59]","[40, 48]","[50, 52]","[60, 44]","[70, 62]"
"[34.88760936973866, 55.21382040162985]","[57.49423799887891, 66.28052819142513]","[30, 60]","[40, 48]","[50, 56]","[60, 43]","[70, 60]"
"[34.78845868657992, 54.20002154353157]","[57.7180805345574, 66.32237131597226]","[30, 57]","[40, 47]","[50, 57]","[60, 45]","[70, 60]"
"[34.88760936973866, 55.21382040162985]","[57.6830444398659, 67.33271785907009]","[30, 60]","[40, 48]","[50, 58]","[60, 45]","[70, 61]"
"[34.78845868657992, 54.20002154353157]","[57.06690939270743, 70.26974960152141]","[30, 57]","[40, 47]","[50, 55]","[60, 44]","[70, 64]"
"[34.75139986938324, 57.20974301765346]","[57.50309615191875, 68.31639549867667]","[30, 59]","[40, 50]","[50, 56]","[60, 46]","[70, 62]"
"[34.79199169539797, 55.20488338417783]","[57.12342705153187, 68.24585318476544]","[30, 58]","[40, 48]","[50, 52]","[60, 45]","[70, 62]"
"[34.979837485529465, 53.21372432376994]","[57.56973776670272, 66.29472989090381]","[30, 60]","[40, 46]","[50, 55]","[60, 45]","[70, 60]"
"[34.70321290850455, 57.20530153659687]","[57.308834646966645, 67.26319087148669]","[30, 58]","[40, 50]","[50, 53]","[60, 45]","[70, 61]"
"[34.654136891482864, 57.2007364205347]","[57.2312872362369, 67.24851282794968]","[30, 57]","[40, 50]","[50, 55]","[60, 42]","[70, 61]"
"[34.837644832447495, 54.204728411939584]","[57.86297782958994, 66.3490406525457]","[30, 58]","[40, 47]","[50, 58]","[60, 46]","[70, 60]"
"[34.933294427578105, 54.213752818369144]","[57.49423799887891, 66.28052819142513]","[30, 60]","[40, 47]","[50, 56]","[60, 43]","[70, 60]"
"[34.60414503362987, 57.1960422525711]","[57.308834646966645, 67.26319087148669]","[30, 56]","[40, 50]","[50, 52]","[60, 46]","[70, 61]"
"[34.979837485529465, 53.21372432376994]","[57.79091760133105, 64.3011733927181]","[30, 60]","[40, 46]","[50, 56]","[60, 44]","[70, 58]"
"[34.79199169539797, 55.20488338417783]","[57.247919194420824, 69.28626801009439]","[30, 58]","[40, 48]","[50, 55]","[60, 45]","[70, 63]"
"[34.79541138122257, 56.20956072826527]","[57.461165637773206, 67.29175379385423]","[30, 59]","[40, 49]","[50, 56]","[60, 44]","[70, 61]"
"[34.78845868657992, 54.20002154353157]","[57.639935521920656, 64.27232146200488]","[30, 57]","[40, 47]","[50, 55]","[60, 43]","[70, 58]"
"[34.78845868657992, 54.20002154353157]","[56.9116134345814, 70.24098990139721]","[30, 57]","[40, 47]","[50, 55]","[60, 42]","[70, 64]"
"[34.884171853640176, 53.20461228806025]","[57.247919194420824, 69.28626801009439]","[30, 58]","[40, 46]","[50, 54]","[60, 46]","[70, 63]"
"[34.933294427578105, 54.213752818369144]","[57.417830177659084, 66.26606603245331]","[30, 60]","[40, 47]","[50, 56]","[60, 42]","[70, 60]"
"[34.648026795635325, 56.195719444123434]","[57.86505414517697, 64.31520556133684]","[30, 56]","[40, 49]","[50, 56]","[60, 45]","[70, 58]"
"[34.88591467715625, 54.20930437094114]","[57.32315646964274, 69.30007314668029]","[30, 59]","[40, 47]","[50, 56]","[60, 45]","[70, 63]"
"[34.97988444430852, 52.2092034405054]","[57.604378357153124, 65.28362093429956]","[30, 59]","[40, 45]","[50, 54]","[60, 45]","[70, 59]"
