20,20,0
"[34.04525808290373, 26.79633457504142]","[54.070004789339436, 23.71998439204173]","[30, 25]","[40, 20]","[50, 23]","[60, 17]"
"[34.04525808290373, 26.79633457504142]","[53.881683230503974, 22.637771054008937]","[30, 25]","[40, 20]","[50, 21]","[60, 16]"
"[33.87363789394216, 25.730724590576326]","[53.96946522197335, 24.725192660896532]","[30, 23]","[40, 19]","[50, 23]","[60, 18]"
"[34.26218936054661, 25.820147700862577]","[53.991395052624895, 21.63097711251848]","[30, 26]","[40, 19]","[50, 21]","[60, 15]"
"[34.23523112157131, 24.7885041474987]","[53.678847036652996, 24.652495497262016]","[30, 25]","[40, 18]","[50, 21]","[60, 18]"
"[34.26218936054661, 25.820147700862577]","[54.070004789339436, 23.71998439204173]","[30, 26]","[40, 19]","[50, 23]","[60, 17]"
"[34.13812216128038, 25.792264233267268]","[53.62077495413442, 23.603135072411106]","[30, 25]","[40, 19]","[50, 20]","[60, 17]"
"[33.9563772601067, 27.80066784050075]","[53.9272228057624, 23.68383151042286]","[30, 25]","[40, 21]","[50, 22]","[60, 17]"
"[34.13812216128038, 25.792264233267268]","[53.52314602606506, 24.612047036339508]","[30, 25]","[40, 19]","[50, 20]","[60, 18]"
"[34.23523112157131, 24.7885041474987]","[53.77763818184719, 23.64497228399654]","[30, 25]","[40, 18]","[50, 21]","[60, 17]"
"[34.13812216128038, 25.792264233267268]","[53.62077495413442, 23.603135072411106]","[30, 25]","[40, 19]","[50, 20]","[60, 17]"
"[34.26218936054661, 25.820147700862577]","[54.20642171718428, 23.753672378603948]","[30, 26]","[40, 19]","[50, 24]","[60, 17]"
"[34.04525808290373, 26.79633457504142]","[53.77763818184719, 23.64497228399654]","[30, 25]","[40, 20]","[50, 21]","[60, 17]"
"[33.64201645603538, 26.703530375595545]","[53.82746873094625, 24.690126608813035]","[30, 22]","[40, 20]","[50, 22]","[60, 18]"
"[33.87363789394216, 25.730724590576326]","[53.49555346172271, 26.66823333948163]","[30, 23]","[40, 19]","[50, 21]","[60, 20]"
"[33.82746873094625, 24.690126608813035]","[53.62077495413442, 23.603135072411106]","[30, 22]","[40, 18]","[50, 20]","[60, 17]"
"[34.33687805077736, 23.785111943599105]","[53.9272228057624, 23.68383151042286]","[30, 25]","[40, 17]","[50, 22]","[60, 17]"
"[34.070004789339436, 23.71998439204173]","[53.9272228057624, 23.68383151042286]","[30, 23]","[40, 17]","[50, 22]","[60, 17]"
"[33.916500898372334, 26.76739694204656]","[53.77763818184719, 23.64497228399654]","[30, 24]","[40, 20]","[50, 21]","[60, 17]"
"[33.82832877284167, 27.772521358284767]","[54.20642171718428, 23.753672378603948]","[30, 24]","[40, 21]","[50, 24]","[60, 17]"
"[34.10525749762341, 24.757918070625788]","[53.678847036652996, 24.652495497262016]","[30, 24]","[40, 18]","[50, 21]","[60, 18]"
"[34.10525749762341, 24.757918070625788]","[54.032131638449805, 22.677897841326683]","[30, 24]","[40, 18]","[50, 22]","[60, 16]"
"[34.26218936054661, 25.820147700862577]","[54.070004789339436, 23.71998439204173]","[30, 26]","[40, 19]","[50, 23]","[60, 17]"
"[33.916500898372334, 26.76739694204656]","[54.070004789339436, 23.71998439204173]","[30, 24]","[40, 20]","[50, 23]","[60, 17]"
"[34.23523112157131, 24.7885041474987]","[53.678847036652996, 24.652495497262016]","[30, 25]","[40, 18]","[50, 21]","[60, 18]"
"[34.13812216128038, 25.792264233267268]","[53.77763818184719, 23.64497228399654]","[30, 25]","[40, 19]","[50, 21]","[60, 17]"
"[34.58136433332808, 23.841998402087654]","[53.9272228057624, 23.68383151042286]","[30, 27]","[40, 17]","[50, 22]","[60, 17]"
"[33.916500898372334, 26.76739694204656]","[54.17559793852611, 22.715167633679926]","[30, 24]","[40, 20]","[50, 23]","[60, 16]"
"[33.916500898372334, 26.76739694204656]","[53.9272228057624, 23.68383151042286]","[30, 24]","[40, 20]","[50, 22]","[60, 17]"
"[34.38123643978671, 25.8463150999747]","[54.070004789339436, 23.71998439204173]","[30, 27]","[40, 19]","[50, 23]","[60, 17]"
"[34.23523112157131, 24.7885041474987]","[54.42397329278638, 21.746503811849877]","[30, 25]","[40, 18]","[50, 24]","[60, 15]"
"[34.00871740293551, 25.762512162847027]","[53.72375097658634, 22.594494861721916]","[30, 24]","[40, 19]","[50, 20]","[60, 16]"
"[33.87363789394216, 25.730724590576326]","[53.9272228057624, 23.68383151042286]","[30, 23]","[40, 19]","[50, 22]","[60, 17]"
"[34.287445533673925, 26.849007827039863]","[54.070004789339436, 23.71998439204173]","[30, 27]","[40, 20]","[50, 23]","[60, 17]"
"[34.10525749762341, 24.757918070625788]","[53.82746873094625, 24.690126608813035]","[30, 24]","[40, 18]","[50, 22]","[60, 18]"
"[34.00871740293551, 25.762512162847027]","[53.82746873094625, 24.690126608813035]","[30, 24]","[40, 19]","[50, 22]","[60, 18]"
"[34.23523112157131, 24.7885041474987]","[54.17559793852611, 22.715167633679926]","[30, 25]","[40, 18]","[50, 23]","[60, 16]"
"[34.20642171718428, 23.753672378603948]","[54.070004789339436, 23.71998439204173]","[30, 24]","[40, 17]","[50, 23]","[60, 17]"
"[48.611673295973944, 20.4989881435164]",[],"[30, 23]","[40, 20]","[50, 18]","[60, 16]"
"[34.10525749762341, 24.757918070625788]","[54.070004789339436, 23.71998439204173]","[30, 24]","[40, 18]","[50, 23]","[60, 17]"
"[33.73250952097089, 25.69671191053286]","[53.72375097658634, 22.594494861721916]","[30, 22]","[40, 19]","[50, 20]","[60, 16]"
"[46.08898579537967, 17.620618178805437]",[],"[30, 23]","[40, 19]","[50, 19]","[60, 15]"
"[34.13812216128038, 25.792264233267268]","[53.9272228057624, 23.68383151042286]","[30, 25]","[40, 19]","[50, 22]","[60, 17]"
"[33.96946522197335, 24.725192660896532]","[53.881683230503974, 22.637771054008937]","[30, 23]","[40, 18]","[50, 21]","[60, 16]"
"[34.00871740293551, 25.762512162847027]","[53.9272228057624, 23.68383151042286]","[30, 24]","[40, 19]","[50, 22]","[60, 17]"
"[34.26218936054661, 25.820147700862577]","[54.17559793852611, 22.715167633679926]","[30, 26]","[40, 19]","[50, 23]","[60, 16]"
"[33.96946522197335, 24.725192660896532]","[54.10525749762341, 24.757918070625788]","[30, 23]","[40, 18]","[50, 24]","[60, 18]"
"[38.19832317770378, 24.78352146283157]",[],"[30, 23]","[40, 20]","[50, 20]","[60, 17]"
"[34.13812216128038, 25.792264233267268]","[54.20642171718428, 23.753672378603948]","[30, 25]","[40, 19]","[50, 24]","[60, 17]"
"[33.916500898372334, 26.76739694204656]","[53.82746873094625, 24.690126608813035]","[30, 24]","[40, 20]","[50, 22]","[60, 18]"
"[33.96946522197335, 24.725192660896532]","[53.82746873094625, 24.690126608813035]","[30, 23]","[40, 18]","[50, 22]","[60, 18]"
"[33.82832877284167, 27.772521358284767]","[54.17559793852611, 22.715167633679926]","[30, 24]","[40, 21]","[50, 23]","[60, 16]"
"[34.58136433332808, 23.841998402087654]","[53.96946522197335, 24.725192660896532]","[30, 27]","[40, 17]","[50, 23]","[60, 18]"
"[33.82832877284167, 27.772521358284767]","[54.286625642221736, 21.71082341683927]","[30, 24]","[40, 21]","[50, 23]","[60, 15]"
"[34.359742917165164, 24.817131170452157]","[53.82746873094625, 24.690126608813035]","[30, 26]","[40, 18]","[50, 22]","[60, 18]"
"[33.87363789394216, 25.730724590576326]","[53.62077495413442, 23.603135072411106]","[30, 23]","[40, 19]","[50, 20]","[60, 17]"
"[34.10525749762341, 24.757918070625788]","[53.82746873094625, 24.690126608813035]","[30, 24]","[40, 18]","[50, 22]","[60, 18]"
