20,40,0
"[22.25229252566661, 32.54036768256942]","[59.16225250471678, 37.932120019922515]","[20, 16]","[30, 26]","[50, 58]","[60, 15]","[70, 32]"
"[22.310772487265474, 31.5258351320049]","[59.09378335377496, 39.98946086806082]","[20, 16]","[30, 25]","[50, 59]","[60, 17]","[70, 34]"
"[22.526746003675946, 33.62964435452439]","[58.33808789505389, 40.81669150761011]","[20, 18]","[30, 27]","[50, 56]","[60, 14]","[70, 35]"
"[22.48391534805317, 31.56756357811343]","[59.18532066758107, 40.01431261286967]","[20, 17]","[30, 25]","[50, 61]","[60, 16]","[70, 34]"
"[22.365153577331657, 33.59332701097216]","[59.1738054321756, 38.97429964361307]","[20, 17]","[30, 27]","[50, 60]","[60, 15]","[70, 33]"
"[22.586774366213653, 32.61819399080856]","[58.68847947040849, 38.836220307837394]","[20, 18]","[30, 26]","[50, 55]","[60, 15]","[70, 33]"
"[22.25229252566661, 32.54036768256942]","[59.70713869285574, 38.08358581590591]","[20, 16]","[30, 26]","[50, 64]","[60, 15]","[70, 32]"
"[22.129718997102614, 31.481124130897612]","[59.441449332272875, 38.01078143088814]","[20, 15]","[30, 25]","[50, 60]","[60, 16]","[70, 32]"
"[22.143532158799456, 34.56845985134617]","[59.000741180244425, 39.9639700879025]","[20, 16]","[30, 28]","[50, 60]","[60, 15]","[70, 34]"
"[22.25229252566661, 32.54036768256942]","[59.70713869285574, 38.08358581590591]","[20, 16]","[30, 26]","[50, 63]","[60, 16]","[70, 32]"
"[21.836860197585686, 33.46887583571045]","[59.16225250471678, 37.932120019922515]","[20, 14]","[30, 27]","[50, 57]","[60, 16]","[70, 32]"
"[22.129718997102614, 31.481124130897612]","[59.266103777002776, 38.99982015256277]","[20, 15]","[30, 25]","[50, 61]","[60, 15]","[70, 33]"
"[22.48391534805317, 31.56756357811343]","[59.1738054321756, 38.97429964361307]","[20, 17]","[30, 25]","[50, 60]","[60, 15]","[70, 33]"
"[21.940219557749188, 31.4331423693997]","[58.47001712401145, 41.892266525452605]","[20, 14]","[30, 25]","[50, 58]","[60, 15]","[70, 36]"
"[22.310772487265474, 31.5258351320049]","[59.53412505787247, 39.072598609524604]","[20, 16]","[30, 25]","[50, 64]","[60, 15]","[70, 33]"
"[22.196610656165948, 33.55457463726022]","[58.61280931721373, 39.85516575725708]","[20, 16]","[30, 27]","[50, 56]","[60, 15]","[70, 34]"
"[22.37225473341619, 30.510981647729988]","[59.07996862589575, 38.94811182349518]","[20, 16]","[30, 24]","[50, 57]","[60, 17]","[70, 33]"
"[22.129718997102614, 31.481124130897612]","[59.441449332272875, 38.01078143088814]","[20, 15]","[30, 25]","[50, 60]","[60, 16]","[70, 32]"
"[22.71553466384342, 30.59475570684228]","[58.96812158397661, 37.8761159108891]","[20, 18]","[30, 24]","[50, 56]","[60, 15]","[70, 32]"
"[22.365153577331657, 33.59332701097216]","[58.98455583317135, 38.92123444881836]","[20, 17]","[30, 27]","[50, 58]","[60, 15]","[70, 33]"
"[22.649636297550938, 31.606560296530763]","[59.266103777002776, 38.99982015256277]","[20, 18]","[30, 25]","[50, 60]","[60, 16]","[70, 33]"
"[22.18859444907703, 30.464478389644718]","[59.09378335377496, 39.98946086806082]","[20, 15]","[30, 24]","[50, 61]","[60, 15]","[70, 34]"
"[22.129718997102614, 31.481124130897612]","[59.441449332272875, 38.01078143088814]","[20, 15]","[30, 25]","[50, 60]","[60, 16]","[70, 32]"
"[22.48391534805317, 31.56756357811343]","[58.81000507024987, 39.91098236316466]","[20, 17]","[30, 25]","[50, 57]","[60, 16]","[70, 34]"
"[22.48391534805317, 31.56756357811343]","[59.09378335377496, 39.98946086806082]","[20, 17]","[30, 25]","[50, 61]","[60, 15]","[70, 34]"
"[22.423121853440236, 32.58057037078644]","[59.27538878308613, 40.03854660274835]","[20, 17]","[30, 26]","[50, 63]","[60, 15]","[70, 34]"
"[22.37225473341619, 30.510981647729988]","[59.07996862589575, 38.94811182349518]","[20, 16]","[30, 24]","[50, 60]","[60, 14]","[70, 33]"
"[22.129718997102614, 31.481124130897612]","[58.58637432339453, 38.80633501666782]","[20, 15]","[30, 25]","[50, 54]","[60, 15]","[70, 33]"
"[22.25229252566661, 32.54036768256942]","[59.28469044524187, 41.07535379034733]","[20, 16]","[30, 26]","[50, 64]","[60, 16]","[70, 35]"
"[22.196610656165948, 33.55457463726022]","[59.000741180244425, 39.9639700879025]","[20, 16]","[30, 27]","[50, 60]","[60, 15]","[70, 34]"
"[22.423121853440236, 32.58057037078644]","[59.1738054321756, 38.97429964361307]","[20, 17]","[30, 26]","[50, 59]","[60, 16]","[70, 33]"
"[22.309812665338182, 34.60583065250044]","[58.83066551771243, 40.95422723676796]","[20, 17]","[30, 28]","[50, 59]","[60, 16]","[70, 35]"
"[22.547729366713366, 30.55431469688763]","[59.16225250471678, 37.932120019922515]","[20, 17]","[30, 24]","[50, 59]","[60, 14]","[70, 32]"
"[22.649636297550938, 31.606560296530763]","[58.94226478741422, 42.01938820709642]","[20, 18]","[30, 25]","[50, 63]","[60, 15]","[70, 36]"
